customer_id,frequency,recency,T,monetary_value,pred_90d,pred_180d,pred_365d,exp_avg_val,CLV_90d,CLV_180d,CLV_365d,CLV_Tier,at_risk_flag,Segment,Recency,R_Score,F_Score,M_Score,RFM_Score
C10015,4.0,329.0,519.0,462.9450000000001,0.6188392693513263,1.2376785387026512,2.50973703681371,481.3234997060067,297.8618828796885,595.7237657593763,1207.9954139009585,Platinum,1,At Risk,190,2,3,5,10
C10016,5.0,477.0,502.0,158.666,0.7245296740765531,1.4490593481531044,2.938370344866008,164.14568242256368,118.92841778669346,237.85683557338663,482.3208054682546,Silver,0,Champions,25,5,4,4,13
C10017,1.0,60.0,375.0,6.83,0.3993379440938084,0.7986758881876176,1.6195372177137777,12.125697427690396,4.842251081477465,9.68450216295494,19.638018274880817,Bronze,0,Hibernating,315,1,1,1,3
C10018,11.0,708.0,720.0,57.86545454545455,1.051326639931681,2.10265327986336,4.263713595278484,58.96599742361789,61.99252394159235,123.98504788318458,251.41412487423568,Silver,0,Champions,12,5,5,4,14
C10019,0.0,0.0,33.0,0.0,0.4959471373455825,0.99189427468651,0.0,4.4,2.1821674043205634,4.364334808620645,0.0,Bronze,0,Potential Loyalists,33,5,1,1,7
C10020,4.0,568.0,676.0,66.795,0.5324831246565308,1.0649662493130616,2.1595148944403757,70.23095579038787,37.3967987868804,74.7935975737608,151.6647950801261,Bronze,0,Loyal Customers,108,3,3,3,9
C10021,2.0,63.0,255.0,538.47,0.5952249359839354,1.190449871967869,2.413967795934845,582.5886453913442,346.7712891580305,693.54257831606,1406.3502282520103,Platinum,0,Hibernating,192,2,1,4,7
C10022,3.0,628.0,666.0,196.07666666666668,0.4565468706221158,0.9130937412442356,1.85155119752303,207.3009698474943,94.6426090608031,189.28521812160704,383.8283589688136,Silver,0,Potential Loyalists,38,4,2,4,10
C10023,5.0,594.0,657.0,72.004,0.6229982555779926,1.2459965111559843,2.5266040365107445,74.88819095818288,46.65521233033953,93.310424660679,189.2128055619323,Bronze,0,Champions,63,4,4,3,11
C10024,4.0,662.0,670.0,56.3975,0.5353380522165092,1.070676104433019,2.171093211766947,59.44126823425345,31.8211727578043,63.642345515608646,129.05253396220593,Bronze,0,Loyal Customers,8,5,3,2,10
C10025,3.0,614.0,722.0,229.03666666666663,0.4347152487806627,0.8694304975613255,1.7630118422771326,241.93971929183823,105.17488526187518,210.34977052375035,426.5425902287161,Silver,0,Needs Attention,108,3,2,4,9
C10026,2.0,446.0,679.0,139.485,0.3715042156205702,0.7430084312411408,1.5066559855723154,152.32487164745675,56.58933196089245,113.17866392178496,229.5011796191754,Bronze,0,Hibernating,233,2,1,2,5
C10027,9.0,680.0,689.0,92.19555555555556,0.921802719677528,1.8436054393550616,3.738422140914429,94.10838281962414,86.7493632275835,173.49872645516749,351.8168619785339,Silver,0,Champions,9,5,5,4,14
C10028,4.0,457.0,588.0,66.1525,0.5776661514797343,1.155332302959467,2.342757169890032,69.56422107004005,40.18489586621549,80.36979173243087,162.97207767965156,Bronze,0,Loyal Customers,131,3,3,2,8
C10029,3.0,278.0,693.0,37.583333333333336,0.4457536326196948,0.8915072652393902,1.8077786211798696,40.73510631799711,18.15782161639669,36.315643232793406,73.6400543331642,Bronze,0,At Risk,415,1,2,1,4
C10030,2.0,376.0,426.0,61.96,0.4789119100495299,0.9578238200990594,1.942253857423095,68.72223230137885,32.91189553432085,65.82379106864167,133.4760207780791,Bronze,0,Potential Loyalists,50,4,1,2,7
C10031,1.0,412.0,590.0,98.22,0.3167095879477161,0.6334191758954314,1.2844333288990704,119.06380038781192,37.70864716031303,75.41729432062597,152.92951348349166,Bronze,0,Hibernating,178,2,1,1,4
C10032,2.0,519.0,639.0,38.435,0.3851614264335539,0.7703228528671071,1.5620435627583007,43.3529696039718,16.697891612796283,33.39578322559254,67.71922709634043,Bronze,0,Needs Attention,120,3,1,1,5
C10033,0.0,0.0,425.0,0.0,0.2735295346813203,0.5470590693607201,0.0,39.02,10.673122443265122,21.346244886455302,0.0,Bronze,0,Hibernating,425,1,1,1,3
C10034,2.0,481.0,520.0,24.285,0.4324579380582841,0.8649158761165682,1.7538571932363716,28.093668130292308,12.14932979211994,24.29865958423988,49.272281934708566,Bronze,0,Potential Loyalists,39,4,1,2,7
C10035,0.0,0.0,209.0,0.0,0.3633091629703449,0.7266183259377079,0.0,97.72,35.5025714054621,71.00514281063282,0.0,Bronze,0,Hibernating,209,2,1,1,4
C10036,2.0,156.0,565.0,18.135,0.413267574282302,0.826535148564604,1.6760296068115592,21.46153356752702,8.86935591783009,17.73871183566018,35.97016566675539,Bronze,0,Hibernating,409,1,1,1,3
C10037,3.0,525.0,572.0,344.31,0.4985762036928499,0.9971524073857015,2.022003492754336,363.0842614929208,181.02517271576244,362.0503454315255,734.1576449028144,Gold,0,Potential Loyalists,47,4,2,4,10
C10038,4.0,421.0,573.0,35.2975,0.5861439352396107,1.1722878704792274,2.3771392929162096,37.54538870220863,22.007001884013384,44.014003768027,89.25061875183246,Bronze,0,At Risk,152,2,3,1,6
C10039,0.0,0.0,113.0,0.0,0.4253600102453528,0.8507200204869493,0.0,166.46,70.80542730544144,141.61085461025758,0.0,Silver,0,Needs Attention,113,3,1,1,5
C10040,4.0,501.0,562.0,44.2975,0.5925208480068822,1.1850416960137644,2.4030012169168,46.88486338412348,27.780259011047665,55.56051802209533,112.66438376702662,Bronze,0,Loyal Customers,61,4,3,2,9
C10041,1.0,130.0,541.0,86.16,0.3323838107844242,0.6647676215688489,1.3480010104034996,104.95204284651564,34.88435995093504,69.76871990187014,141.4754598010145,Bronze,0,Hibernating,411,1,1,2,4
C10042,4.0,558.0,561.0,27.75,0.5931074545430851,1.1862149090861702,2.405380232313622,29.71320146201392,17.62312128546095,35.2462425709219,71.4715474354805,Bronze,0,Loyal Customers,3,5,3,2,10
C10043,4.0,698.0,724.0,376.3250000000001,0.510695061581013,1.021390123162026,2.071152194189664,391.43624448962174,199.90455698466783,399.80911396933567,810.7240366600419,Gold,0,Loyal Customers,26,5,3,5,13
C10044,3.0,327.0,591.0,168.44333333333336,0.4894683202534685,0.9789366405069384,1.985065965472403,178.26018982184587,87.25271568016333,174.50543136032692,353.8582358139963,Silver,0,At Risk,264,2,2,5,9
C10045,3.0,356.0,636.0,36.87333333333333,0.4691693295744444,0.9383386591488898,1.902742281051918,39.98894393615595,18.761586016916333,37.5231720338327,76.08865440193863,Bronze,0,At Risk,280,1,2,3,6
C10046,0.0,0.0,559.0,0.0,0.237170440204906,0.4743408804082885,0.961857896378935,54.62,12.954249443991964,25.90849888790072,52.53667830021743,Bronze,0,Hibernating,559,1,1,1,3
C10047,2.0,656.0,696.0,345.935,0.3659888286832212,0.7319776573664423,1.4842880274375103,374.9596977422362,137.23106058009571,274.4621211601914,556.5481901303889,Gold,0,Potential Loyalists,40,4,1,4,9
C10048,2.0,368.0,693.0,25.755,0.3669502012019144,0.7339004024038289,1.488186927096651,29.67891005017279,10.890682014364426,21.78136402872885,44.16776594714455,Bronze,0,Hibernating,325,1,1,1,3
C10049,1.0,304.0,334.0,14.44,0.4202461639151091,0.8404923278302185,1.7043316647668312,21.03038025432925,8.837936627557923,17.675873255115853,35.84274298954046,Bronze,0,Potential Loyalists,30,5,1,1,7
C10050,3.0,428.0,643.0,128.41,0.4661620603719722,0.9323241207439404,1.8905461337307683,136.18784143728158,63.48560476201463,126.97120952402872,257.4693970903916,Silver,0,At Risk,215,2,2,3,7
C10051,5.0,721.0,728.0,130.042,0.5854198482316391,1.1708396964632852,2.3742027178283167,134.6644053267612,78.83521572859647,157.6704314571939,319.7205971215305,Silver,0,Champions,7,5,4,4,13
C10052,2.0,556.0,664.0,14.485,0.3765106410225671,0.7530212820451341,1.526959821924855,17.525388664422415,6.598495320211316,13.196990640422626,26.76056435419033,Bronze,0,Needs Attention,108,3,1,1,5
C10053,2.0,473.0,498.0,35.91,0.4425036069224159,0.8850072138448318,1.7945979614075769,40.630020047714495,17.978930420443735,35.95786084088747,72.91455114957742,Bronze,0,Potential Loyalists,25,5,1,1,7
C10054,3.0,518.0,610.0,108.45,0.480687228781171,0.9613744575623436,1.9494537611680836,115.2112201111558,55.38056211972899,110.7611242394582,224.5989463744566,Bronze,0,Needs Attention,92,3,2,3,8
C10055,3.0,417.0,704.0,127.48,0.4415012993859482,0.8830025987718968,1.79053304750968,135.2104738103629,59.69559987786494,119.39119975572994,242.0988217268969,Bronze,0,At Risk,287,1,2,4,7
C10056,2.0,420.0,708.0,19.415,0.3621931901650548,0.7243863803301098,1.4688946045582776,22.84188027327329,8.273173485545087,16.546346971090177,33.55231469137729,Bronze,0,Hibernating,288,1,1,4,6
C10057,1.0,298.0,442.0,15.56,0.3693119365990218,0.7386238731980447,1.4977650762071442,22.34092490161381,8.250770240828308,16.50154048165664,33.4614570878037,Bronze,0,Needs Attention,144,3,1,1,5
C10058,6.0,620.0,670.0,191.745,0.6961841388499289,1.3923682776998578,2.8234134520024754,197.1102064988115,137.22499936990675,274.4499987398135,556.5236085557301,Gold,0,Champions,50,4,5,5,14
C10059,1.0,69.0,589.0,623.58,0.3170146788863617,0.6340293577727216,1.285670642150244,733.8028502962203,232.6262749525532,465.2525499051051,943.4287817520208,Platinum,0,Hibernating,520,1,1,4,6
C10060,7.0,596.0,704.0,290.98285714285714,0.753707996727259,1.5074159934545153,3.0567046533938838,297.67028846917384,224.35647680732632,448.71295361465184,909.8901559408232,Platinum,0,Loyal Customers,108,3,5,5,13
C10061,3.0,517.0,572.0,266.75333333333333,0.4985762036928499,0.9971524073857015,2.022003492754336,281.5774063835405,140.38779432038447,280.7755886407694,569.3504991882259,Gold,0,Potential Loyalists,55,4,2,4,10
C10062,4.0,470.0,661.0,61.185,0.5396783094220832,1.0793566188441663,2.1886953659895534,64.4093499053276,34.760329067882616,69.52065813576523,140.9724456641902,Bronze,0,At Risk,191,2,3,2,7
C10063,2.0,339.0,455.0,189.84,0.4635499831425674,0.9270999662851348,1.879952709411524,206.62749537234228,95.7821719966402,191.5643439932804,388.449919764152,Silver,0,Needs Attention,116,3,1,3,7
C10064,4.0,574.0,726.0,96.95,0.5098258542331493,1.019651708466298,2.0676270755011075,101.52338457184813,51.759246263983,103.51849252796592,209.9124987372646,Bronze,0,At Risk,152,2,3,3,8
C10065,4.0,522.0,539.0,59.665,0.6063132013761481,1.2126264027522955,2.458936872247709,62.83201640349309,38.09588101452055,76.19176202904106,154.49996189222207,Bronze,0,Loyal Customers,17,5,3,2,10
C10066,7.0,250.0,587.0,216.5142857142857,0.838820772184371,1.677641544368745,3.401884242747743,221.62215959443324,185.9012710441704,371.8025420883414,753.932932568028,Gold,1,Can't Lose Them,337,1,5,5,11
C10067,3.0,432.0,513.0,159.8766666666667,0.5291515480766351,1.0583030961532711,2.1460035005330216,169.25719770291744,89.56270818761185,179.12541637522386,363.22653876087054,Silver,0,Potential Loyalists,81,4,2,3,9
C10068,4.0,555.0,649.0,184.0,0.5455759912511303,1.0911519825022606,2.212613742296248,191.8568591341468,104.6724961004406,209.3449922008812,424.50512307400857,Silver,0,Loyal Customers,94,3,3,4,10
C10069,3.0,214.0,504.0,125.47333333333331,0.5341483507652399,1.068296701530478,2.166268311436802,133.10160172647383,71.0960010464078,142.1920020928154,288.3337820215422,Silver,0,At Risk,290,1,2,3,6
C10070,3.0,584.0,692.0,242.43000000000004,0.446144273727219,0.8922885474544381,1.8093628878937225,256.0152143633769,114.21972187526708,228.43944375053417,463.22442760525007,Silver,0,Needs Attention,108,3,2,4,9
C10071,9.0,587.0,698.0,96.17777777777778,0.9145702614112764,1.8291405228225568,3.7090905046124094,98.15599350904748,89.77055264265313,179.5411052853066,364.06946349520535,Silver,0,Loyal Customers,111,3,5,4,12
C10072,5.0,570.0,610.0,236.81,0.6506457004330573,1.301291400866118,2.6387297850896254,244.63006326990825,159.16749886323257,318.334997726466,645.5126342786665,Gold,0,Champions,40,4,4,5,13
C10073,4.0,624.0,678.0,237.3125,0.5315382368699948,1.0630764737399865,2.155682849528316,247.18027513187852,131.38576763263893,262.77153526527707,532.8422798434809,Gold,0,Loyal Customers,54,4,3,4,11
C10074,4.0,659.0,691.0,37.5725,0.5254772731988123,1.050954546397624,2.1311022746396286,39.90620035791488,20.96980134780258,41.93960269560514,85.04419435497717,Bronze,0,Loyal Customers,32,5,3,2,10
C10075,1.0,69.0,422.0,2.51,0.377791318098357,0.7555826361967134,1.5321536789544434,7.070739502449944,2.671263996560685,5.342527993121367,10.833459541607192,Bronze,0,Hibernating,353,1,1,1,3
C10076,3.0,472.0,570.0,54.82333333333333,0.4995546844883215,0.999109368976643,2.0259717759804152,58.85319006861877,29.40038679586007,58.80077359172014,119.23490200543252,Bronze,0,Needs Attention,98,3,2,2,7
C10077,2.0,226.0,677.0,72.75999999999999,0.3721640328172524,0.7443280656345044,1.5093319108699672,80.368907631113,29.910416777112268,59.8208335542245,121.30335692939968,Bronze,0,Hibernating,451,1,1,2,4
C10078,3.0,537.0,585.0,394.09,0.492308336055831,0.9846166721116576,1.996583807337532,415.3997028563747,204.5047365113085,409.0094730226151,829.38032029586,Gold,0,Potential Loyalists,48,4,2,5,11
C10079,5.0,645.0,712.0,83.714,0.5934870782650503,1.1869741565301015,2.4069198174082578,86.94890067002773,51.60304901701283,103.20609803402574,209.2790321245519,Bronze,0,Champions,67,4,4,4,12
C10080,4.0,496.0,514.0,79.52250000000001,0.6220520752746117,1.2441041505492247,2.522766749724815,83.43852956972913,51.90311047671206,103.80622095342424,210.49594804444345,Bronze,0,Loyal Customers,18,5,3,2,10
C10081,5.0,364.0,687.0,13.924,0.6065470279297315,1.2130940558594612,2.459885168826131,15.068718706778142,9.139886546305428,18.27977309261083,37.06731766001643,Bronze,0,Can't Lose Them,323,1,4,2,7
C10082,1.0,279.0,338.0,63.96,0.4181104472674489,0.8362208945348972,1.6956701472513207,78.97517573069666,33.02034604778696,66.04069209557387,133.91584786046934,Bronze,0,Potential Loyalists,59,4,1,1,6
C10083,3.0,102.0,145.0,528.5733333333334,0.8569306910812161,1.713861382162431,3.475330024940484,556.7326666844551,477.0813088093985,954.1626176187962,1934.8297523936697,Platinum,0,Potential Loyalists,43,4,2,5,11
C10084,5.0,571.0,717.0,59.416,0.5909422874496811,1.1818845748993632,2.396599276879262,61.92318550534743,36.59302888870095,73.18605777740196,148.40506160417604,Bronze,0,Loyal Customers,146,3,4,2,9
C10085,4.0,483.0,541.0,21.5425,0.6050884279729132,1.2101768559458277,2.453969735667929,23.271558230015422,14.08135058588014,28.162701171760315,57.107699598291774,Bronze,0,Loyal Customers,58,4,3,1,8
C10086,1.0,190.0,315.0,18.41,0.4306961869876298,0.8613923739752596,1.7467123138942733,25.67579297729328,11.058466133203977,22.116932266407957,44.84822376243827,Bronze,0,Needs Attention,125,3,1,1,5
C10087,1.0,57.0,530.0,114.43,0.3361181465797587,0.6722362931595172,1.3631458166845758,138.03159389895723,46.39492351076744,92.78984702153484,188.15718979366773,Bronze,0,Hibernating,473,1,1,1,3
C10088,3.0,583.0,650.0,122.5,0.4631930974645541,0.9263861949291072,1.878505339717358,129.97682780815316,60.20436947107545,120.4087389421508,244.1621650771393,Silver,0,Potential Loyalists,67,4,2,3,9
C10089,6.0,468.0,708.0,208.40833333333333,0.6733205979459682,1.3466411958919364,2.730689091669757,214.18735756996088,144.21675967147297,288.43351934294594,584.879080889862,Gold,1,Can't Lose Them,240,2,5,5,12
C10090,2.0,462.0,657.0,362.74,0.3788934425683476,0.7577868851366945,1.5366234059716304,393.0821402344754,148.9362453255744,297.87249065114844,604.0192171537176,Gold,0,Hibernating,195,2,1,5,8
C10091,6.0,343.0,560.0,154.39666666666668,0.7720751333899406,1.5441502667798823,3.1311935965258693,158.8343634948721,122.63206238220968,245.26412476441956,497.3411418834058,Silver,0,Can't Lose Them,217,2,5,4,11
C10092,3.0,209.0,631.0,253.22,0.4713412444032221,0.9426824888064466,1.9115506023019528,267.354780701498,126.01533503299464,252.03067006598985,511.06219207825495,Gold,1,At Risk,422,1,2,4,7
C10093,1.0,132.0,669.0,7.17,0.294331934061769,0.5886638681235375,1.193679510361618,12.523541338473212,3.686078143455336,7.372156286910665,14.949094692902186,Bronze,0,Hibernating,537,1,1,1,3
C10094,3.0,241.0,511.0,338.45,0.5302538526966906,1.060507705393382,2.1504739581588,356.9257945104008,189.26127766596733,378.5225553319349,767.5596260897562,Gold,1,At Risk,270,1,2,4,7
C10095,4.0,314.0,421.0,25.1525,0.6885410114884464,1.3770820229768888,2.792416324369812,27.01772529687238,18.602811904025494,37.20562380805088,75.44473716632565,Bronze,0,Loyal Customers,107,3,3,1,7
C10096,0.0,0.0,132.0,0.0,0.4114517550185856,0.8229035100335902,0.0,3.11,1.2796149581078011,2.5592299162044654,0.0,Bronze,0,Needs Attention,132,3,1,1,5
C10097,4.0,660.0,709.0,30.9725,0.5173098127747662,1.034619625549533,2.097978685142109,33.05725225784399,17.100840976353492,34.201681952707006,69.35341062632256,Bronze,0,Loyal Customers,49,4,3,2,9
C10098,6.0,438.0,580.0,218.59666666666664,0.757070013325384,1.5141400266507536,3.0703394984862484,224.6287082898985,170.05965917829727,340.1193183565913,689.6863955564207,Gold,0,Loyal Customers,142,3,5,5,13
C10099,1.0,18.0,632.0,5.0,0.3044054335518689,0.6088108671037364,1.234533147182579,9.984361084359373,3.039293764622822,6.078587529245632,12.326024712081445,Bronze,0,Hibernating,614,1,1,1,3
C10100,2.0,284.0,717.0,40.28,0.3593977280775757,0.7187954561551525,1.4575574527590585,45.34260997280138,16.296031009332445,32.59206201866494,66.08945909340386,Bronze,0,Hibernating,433,1,1,2,4
C10101,0.0,0.0,174.0,0.0,0.383717095906289,0.7674341918093444,0.0,2.5,0.9592927397657226,1.9185854795233608,0.0,Bronze,0,Hibernating,174,2,1,1,4
C10102,6.0,458.0,569.0,108.03000000000002,0.7652498732273705,1.530499746454742,3.1035133747554453,111.31622558735305,85.1847275188713,170.3694550377427,345.4713949376445,Silver,0,Loyal Customers,111,3,5,4,12
C10103,0.0,0.0,224.0,0.0,0.3552126228054836,0.7104252456080847,0.0,17.12,6.081240102429881,12.16248020481041,0.0,Bronze,0,Hibernating,224,2,1,1,4
C10104,5.0,526.0,694.0,72.35,0.602832658987491,1.205665317974983,2.4448213392270493,75.24455351670535,45.35987427080206,90.7197485416042,183.95949009825296,Bronze,0,Can't Lose Them,168,2,4,3,9
C10105,7.0,559.0,674.0,55.53,0.7738411970948952,1.547682394189789,3.1383559659959643,57.223226300126086,44.28168994172166,88.56337988344325,179.58685365253788,Bronze,0,Loyal Customers,115,3,5,3,11
C10106,9.0,582.0,619.0,221.03222222222223,0.982215848514546,1.9644316970290725,3.983430941197879,225.06055979247776,221.05804870372725,442.1160974074501,896.5131975206712,Platinum,0,Champions,37,4,5,5,14
C10107,3.0,427.0,669.0,99.04666666666668,0.4553218796915048,0.9106437593830096,1.84658317874888,105.32894743897796,47.95857433384315,95.9171486676863,194.49866257614164,Bronze,0,At Risk,242,2,2,2,6
C10108,0.0,0.0,231.0,0.0,0.3515564644926449,0.7031129289824517,0.0,46.71,16.421202456451443,32.84240491277032,0.0,Bronze,0,Hibernating,231,2,1,1,4
C10109,7.0,676.0,730.0,70.94,0.7370879450132841,1.4741758900265722,2.98930111033166,72.96008875738183,53.778001890165385,107.55600378033104,218.0996743323379,Bronze,0,Champions,54,4,5,3,12
C10110,8.0,652.0,664.0,45.80125,0.8616499931314451,1.7232999862628933,3.4944694165886414,47.09882018250404,40.58269808675377,81.1653961735077,164.58538668516823,Bronze,0,Champions,12,5,5,3,13
C10111,5.0,499.0,696.0,201.97,0.6017797518085818,1.2035595036171636,2.440551215668145,208.74661951579424,125.61948888309512,251.23897776619023,509.4568160258873,Gold,1,Can't Lose Them,197,2,4,4,10
C10112,2.0,393.0,461.0,6.05,0.4604938858403836,0.920987771680767,1.8675585370193344,8.429119552727261,3.881558017048533,7.763116034097063,15.741874180252388,Bronze,0,Potential Loyalists,68,4,1,1,6
C10113,2.0,182.0,270.0,25.295,0.58280858989705,1.1656171797940995,2.3636126145824794,29.18284795279522,17.008014464548594,34.016028929097175,68.97694755066927,Bronze,0,Needs Attention,88,3,1,1,5
C10114,5.0,580.0,704.0,36.398,0.597604648056603,1.195209296113206,2.423618850451779,38.21580581728211,22.837943185636355,45.67588637127271,92.62054736396968,Bronze,0,Loyal Customers,124,3,4,2,9
C10115,5.0,495.0,721.0,34.066,0.5889221139477784,1.177844227895555,2.3884063510104365,35.81396337082419,21.091635017194086,42.18327003438811,85.53829756973164,Bronze,0,Can't Lose Them,226,2,4,2,8
C10116,6.0,630.0,639.0,133.18833333333333,0.7160187684196375,1.432037536839275,2.903853894146308,137.09934175248603,98.16570183275805,196.3314036655161,398.116457432852,Silver,0,Champions,9,5,5,4,14
C10117,2.0,245.0,508.0,20.82,0.4378801421318425,0.8757602842636856,1.7758472430902514,24.3570264620026,10.665458209090747,21.330916418181506,43.25435829242361,Bronze,0,Hibernating,263,2,1,1,4
C10118,1.0,34.0,221.0,50.84,0.4911148024100467,0.9822296048200936,1.9917433653296317,63.623081291077504,31.246236996985868,62.49247399397176,126.7208500433314,Bronze,0,Hibernating,187,2,1,2,5
C10119,1.0,172.0,280.0,51.6,0.4513719977268274,0.9027439954536554,1.830564213003245,64.51237944459203,29.119081588016623,58.23816317603328,118.09405310695632,Bronze,0,Needs Attention,108,3,1,1,5
C10120,2.0,430.0,699.0,48.23,0.365032480399619,0.730064960799238,1.4804095038428982,53.91585709052237,19.681039046624768,39.362078093249536,79.81754724464483,Bronze,0,Hibernating,269,1,1,1,3
C10121,1.0,457.0,487.0,66.79,0.3515581150747955,0.7031162301495901,1.4257634666922292,82.28664122338891,28.92853648433057,57.85707296866107,117.32128685311866,Bronze,0,Potential Loyalists,30,5,1,2,8
C10122,3.0,446.0,566.0,14.38,0.501523213387809,1.0030464267756176,2.0339552542950026,16.34995918186457,8.199884067648233,16.39976813529646,33.255085385462266,Bronze,0,Needs Attention,120,3,2,3,8
C10123,3.0,270.0,439.0,81.44333333333334,0.573243426620425,1.1464868532408496,2.324820563516171,86.82902472300097,49.77416766232268,99.54833532464532,201.86190218608667,Bronze,0,At Risk,169,2,2,2,6
C10124,3.0,443.0,605.0,295.5133333333333,0.4829673508034023,0.9659347016068044,1.9587009227026813,311.8022375127678,150.59030062611473,301.1806012522293,610.727330317019,Gold,1,At Risk,162,2,2,5,9
C10125,5.0,487.0,513.0,508.812,0.7162457394729226,1.4324914789458407,2.904774387862404,524.7784119497738,375.8703017263917,751.7406034527812,1524.3628903348083,Platinum,0,Champions,26,5,4,5,14
C10126,1.0,174.0,297.0,58.95,0.4410871745766476,0.8821743491532973,1.7888535413386295,73.11282869239697,32.249131033235834,64.49826206647182,130.78814252367889,Bronze,0,Needs Attention,123,3,1,1,5
C10127,1.0,198.0,722.0,15.04,0.2810112706081623,0.5620225412163251,1.1396568196886578,21.73245774394598,6.107065564064455,12.214131128128924,24.76754367648362,Bronze,0,Hibernating,524,1,1,2,4
C10128,4.0,302.0,488.0,134.39249999999998,0.6393113436199264,1.2786226872398494,2.592762671347458,140.37819354713665,89.745371531558,179.49074306311556,363.9673401002045,Silver,0,At Risk,186,2,3,3,8
C10129,4.0,271.0,637.0,107.63,0.5516039987201806,1.103207997440362,2.237060661476294,112.60622786105375,62.11404556895306,124.2280911379062,251.9069625851992,Silver,0,At Risk,366,1,3,3,7
C10130,3.0,167.0,504.0,25.25,0.5341483507652395,1.0682967015304772,2.1662683114368004,27.773600154559325,14.835222717371064,29.67044543474208,60.16506990933809,Bronze,0,At Risk,337,1,2,1,4
C10131,4.0,384.0,656.0,32.825,0.542120110975957,1.084240221951912,2.198598227846935,34.9796274632048,18.96315952225022,37.92631904450037,76.90614695134806,Bronze,0,At Risk,272,1,3,2,6
C10132,2.0,105.0,695.0,289.775,0.3663087259893285,0.732617451978658,1.4855853887344992,314.39698602761854,115.16635940666168,230.33271881332365,467.0635687047946,Silver,0,Hibernating,590,1,1,4,6
C10133,6.0,702.0,721.0,213.61666666666667,0.6658397838424245,1.33167956768485,2.7003502344720616,219.5250348151441,146.16850172931626,292.33700345863275,592.7944792355619,Gold,0,Champions,19,5,5,5,15
C10134,2.0,260.0,494.0,356.595,0.4443804468628493,0.888760893725697,1.802209590054889,386.4553976510293,171.73322230072452,343.4664446014485,696.4736237751606,Gold,0,Hibernating,234,2,1,4,7
