customer_id,CLV_180d,CLV_365d,CLV_Tier,Segment,Recency,frequency,monetary_value
C12770,900.7879648647553,1826.5978176424178,Platinum,At Risk,181,2.0,944.065
C11081,898.1198456726033,1821.1874648361133,Platinum,Can't Lose Them,240,5.0,707.996
C11671,893.0918897149458,1810.9918874775326,Platinum,At Risk,220,3.0,745.8933333333334
C17470,892.0758734292798,1808.931632231595,Platinum,Can't Lose Them,151,5.0,569.992
C10618,891.8640444475488,1808.5020901297512,Platinum,At Risk,396,2.0,1126.115
C12759,888.1134084369293,1800.8966337748843,Platinum,At Risk,152,2.0,1134.145
C12263,879.1306953109133,1782.6816877138008,Platinum,Can't Lose Them,215,5.0,639.748
C15068,875.0165285238984,1774.3390717290151,Platinum,At Risk,197,3.0,907.4066666666666
C16944,870.58936540665,1765.3617687412614,Platinum,Can't Lose Them,221,6.0,616.0600000000001
C10417,856.9659990575161,1737.7366091999593,Platinum,At Risk,252,3.0,897.4733333333334
C17058,855.8764026376524,1735.5271497930169,Platinum,At Risk,314,3.0,843.5400000000001
C13986,852.0190977661456,1727.7053926924718,Platinum,Can't Lose Them,153,8.0,509.8425
C16234,838.842451471196,1700.9860821499253,Platinum,At Risk,348,2.0,1012.66
C11026,833.9077013769011,1690.9795055698285,Platinum,At Risk,192,3.0,660.5366666666667
C16821,833.373262457973,1689.8957822064442,Platinum,At Risk,419,2.0,1007.8900000000001
C16615,816.7380179949599,1656.1632031564475,Platinum,At Risk,260,2.0,812.4399999999999
C17589,808.0623330567404,1638.5708420317228,Platinum,At Risk,173,2.0,658.9649999999999
C10785,798.6005744273125,1619.3844981442717,Platinum,At Risk,232,4.0,640.815
C14150,786.7881703171039,1595.4315675874564,Platinum,Can't Lose Them,187,8.0,445.80625000000003
C16336,784.4747371718177,1590.7404392650744,Platinum,At Risk,207,2.0,859.255
C10833,783.653671110824,1589.075499752504,Platinum,At Risk,313,2.0,847.95
C15468,781.7812886323262,1585.278724171106,Platinum,Can't Lose Them,278,5.0,606.28
C10303,779.2392578375188,1580.124050614969,Platinum,Can't Lose Them,202,5.0,610.894
C17150,777.378631325262,1576.3511135206695,Platinum,At Risk,232,2.0,922.85
C12305,769.884869719419,1561.1554302643774,Platinum,At Risk,153,2.0,961.635
C11120,769.7817018066801,1560.9462286635442,Platinum,At Risk,253,4.0,706.81
C10001,761.5609424780502,1544.2763555804895,Platinum,At Risk,194,4.0,642.29
C11969,759.8476810955469,1540.8022422215272,Platinum,Can't Lose Them,329,5.0,583.3620000000001
C15109,751.7466410428534,1524.3751332257912,Platinum,Can't Lose Them,166,6.0,530.4699999999999
C12163,750.8404898142934,1522.537659901207,Platinum,Can't Lose Them,439,5.0,568.504
C16862,745.290409575783,1511.2833305286676,Platinum,At Risk,186,3.0,745.54
C12682,742.3771921310606,1505.375972932429,Platinum,Can't Lose Them,420,4.0,665.495
C11814,736.8430083363929,1494.1538780154633,Platinum,Can't Lose Them,367,5.0,599.9399999999999
C11836,732.4365295440205,1485.218518242041,Platinum,Can't Lose Them,213,5.0,566.936
C12986,723.6510002808241,1467.4034172361144,Platinum,At Risk,223,2.0,857.345
C17646,718.9171677980158,1457.804256923754,Platinum,At Risk,324,2.0,807.98
C15621,716.5594072968646,1453.0232425741988,Platinum,At Risk,170,3.0,560.0533333333333
C10754,713.0705079322152,1445.9485299736525,Platinum,Can't Lose Them,261,5.0,561.472
C13677,699.9469629841964,1419.3368971623945,Platinum,Can't Lose Them,264,4.0,642.0450000000001
C14514,696.4904055596389,1412.3277668292644,Platinum,Can't Lose Them,153,5.0,562.63
C12778,687.0095300050982,1393.1026580658936,Platinum,Can't Lose Them,209,4.0,609.165
C13107,680.3061891505292,1379.5097724441255,Platinum,At Risk,283,2.0,811.155
C15185,680.0735876146138,1379.0381082185172,Platinum,Can't Lose Them,219,4.0,500.1775
C15281,659.4679212338355,1337.2543958352753,Platinum,At Risk,409,2.0,722.78
C15339,657.673647809801,1333.6160080587613,Platinum,At Risk,241,2.0,629.13
C10829,657.0537856940192,1332.3590654350965,Platinum,At Risk,216,2.0,613.27
C12258,648.2311061514499,1314.4686319182165,Platinum,Can't Lose Them,192,6.0,473.9866666666667
C14561,646.4056653622871,1310.7670436513042,Platinum,At Risk,232,3.0,647.07
C16820,636.962826802639,1291.6190654609077,Platinum,Can't Lose Them,420,4.0,582.1424999999999
C17014,629.726927821936,1276.9462703055929,Platinum,At Risk,173,3.0,507.93333333333334
C15800,627.6013445476817,1272.636059777245,Platinum,At Risk,198,3.0,540.2333333333332
C12113,621.8579854325789,1260.9898037938387,Platinum,At Risk,233,3.0,592.8133333333333
C10505,618.0205911787634,1253.2084210013838,Platinum,At Risk,186,4.0,538.9575
C12794,614.2876973407958,1245.6389418299482,Platinum,At Risk,466,3.0,629.7866666666667
C11095,613.2728077188053,1243.5809712075782,Platinum,At Risk,429,2.0,755.48
C13216,605.0151622948039,1226.8363013200192,Platinum,Can't Lose Them,176,5.0,490.774
C16941,598.7664594568522,1214.1653205652847,Platinum,Can't Lose Them,354,4.0,525.51
C16510,598.0270777715602,1212.6660188145513,Platinum,At Risk,348,2.0,738.64
C11804,597.6403734727703,1211.8818684308947,Platinum,At Risk,240,3.0,644.5233333333333
C17937,595.8717938414055,1208.2955819561835,Platinum,At Risk,335,2.0,728.7199999999999
C10015,595.7237657593763,1207.9954139009583,Platinum,At Risk,190,4.0,462.94500000000005
C15132,595.3529102905339,1207.2434014224714,Platinum,Can't Lose Them,280,5.0,490.89399999999995
C11658,595.2668796940901,1207.0689504907928,Platinum,Can't Lose Them,165,6.0,344.25499999999994
C16827,593.8615395954472,1204.219233068543,Platinum,Can't Lose Them,245,4.0,422.33
C16531,593.0744391338604,1202.6231682436617,Platinum,At Risk,159,2.0,557.975
C13432,593.059923249576,1202.593733256076,Platinum,Can't Lose Them,288,4.0,514.2925
C16044,588.777740726166,1193.9104186947256,Platinum,Can't Lose Them,170,4.0,521.9375
C15000,582.9413428940718,1182.0755008685353,Platinum,Can't Lose Them,154,4.0,465.1825
C11577,578.5148597615486,1173.0995767386958,Platinum,At Risk,236,4.0,484.9075
C16233,575.4641372557489,1166.9133894352603,Platinum,Can't Lose Them,279,4.0,499.0075
C15134,573.0866842494321,1162.0924430613516,Platinum,At Risk,206,3.0,602.4633333333333
C17830,572.5100363640981,1160.923129293865,Platinum,Can't Lose Them,180,8.0,340.39
C11410,572.1877222352424,1160.2695478659093,Platinum,At Risk,182,4.0,504.90500000000003
C17836,571.6035452074505,1159.084966670662,Platinum,Can't Lose Them,223,4.0,506.22749999999996
C13551,568.7810077714505,1153.3614879809961,Platinum,Can't Lose Them,170,4.0,465.2975
C12689,568.3012881254267,1152.3887231432266,Platinum,At Risk,213,3.0,540.0633333333333
C15970,566.7432882775518,1149.2294456739296,Platinum,Can't Lose Them,173,5.0,422.552
C17705,564.2774948436189,1144.2293645440045,Platinum,Can't Lose Them,181,6.0,410.40333333333336
C15786,556.5771064567914,1128.614688092939,Platinum,At Risk,215,3.0,526.2966666666666
C10795,553.0002523316393,1121.3616227836021,Platinum,At Risk,333,2.0,639.455
C15874,543.5758491224517,1102.251027387193,Platinum,Can't Lose Them,240,5.0,427.078
C14659,541.3638975207567,1097.7656810837573,Platinum,At Risk,268,2.0,688.85
C12371,540.9878208859142,1097.0030812408825,Platinum,Can't Lose Them,215,6.0,385.6483333333333
C10483,539.3028502125568,1093.5863351532396,Platinum,At Risk,179,2.0,651.615
C10149,538.6726483845191,1092.3084258908314,Platinum,At Risk,179,3.0,518.8933333333333
C12621,536.817601039201,1088.5468021072727,Platinum,Can't Lose Them,367,7.0,340.6557142857143
C12156,531.4768768650598,1077.717000309705,Platinum,Can't Lose Them,162,9.0,289.71111111111105
C12278,530.4948183959814,1075.7256039696306,Platinum,At Risk,164,3.0,528.35
C10841,530.2507257273642,1075.2306382804863,Platinum,At Risk,195,3.0,511.75333333333333
C16913,528.833825089775,1072.3574786542667,Platinum,At Risk,306,3.0,575.62
C10691,528.6419472877866,1071.968393111347,Platinum,At Risk,177,2.0,431.66
C10325,527.4292256871416,1069.509263198927,Platinum,Can't Lose Them,266,5.0,404.71
C11916,524.6975233672016,1063.9699779390476,Platinum,Can't Lose Them,157,4.0,438.45
C12048,522.5852347194744,1059.6867259589344,Platinum,Can't Lose Them,292,4.0,448.87
C14907,522.4523173773069,1059.4171991262062,Platinum,At Risk,180,2.0,625.42
C15860,522.2158469335571,1058.937689615271,Platinum,At Risk,339,1.0,560.0
C14567,514.1614436424815,1042.6051496083621,Platinum,Can't Lose Them,262,4.0,473.875
C14413,513.6768606767238,1041.6225230389102,Platinum,At Risk,215,2.0,452.92
C16126,512.5766384471026,1039.3915168510675,Platinum,Can't Lose Them,164,7.0,308.50142857142856
C15043,510.7284783344568,1035.64385884487,Platinum,Can't Lose Them,155,7.0,323.5
C15177,509.99618621852164,1034.158933165336,Platinum,At Risk,333,3.0,431.63000000000005
C17959,505.34932382442133,1024.7361288661893,Platinum,Can't Lose Them,180,8.0,296.01
C13793,504.3633099401831,1022.7367118231493,Platinum,Can't Lose Them,497,5.0,388.046
C14182,502.9620536624762,1019.8952754822423,Platinum,Can't Lose Them,152,5.0,395.46999999999997
C17248,502.73546277333674,1019.4357995125969,Platinum,Can't Lose Them,275,4.0,429.765
C17196,502.36840665466605,1018.6914912719614,Platinum,Can't Lose Them,190,4.0,428.6425
C10012,498.4284299695936,1010.7020941050088,Platinum,At Risk,211,4.0,438.5025
C16268,497.2116426779596,1008.234719874748,Platinum,Can't Lose Them,180,5.0,360.816
C14768,497.11175484549335,1008.032169547809,Platinum,Can't Lose Them,152,4.0,456.9325
C12841,496.5712641851855,1006.936174597737,Platinum,Can't Lose Them,180,8.0,284.50625
C15996,496.4221788943291,1006.6338627579448,Platinum,At Risk,297,3.0,481.81333333333333
C15540,496.38086482939997,1006.550087015172,Platinum,At Risk,196,3.0,313.38
C14349,493.30973884962765,1000.322526000634,Platinum,Can't Lose Them,310,7.0,321.3428571428571
C11835,492.9921833928571,999.6785941021824,Platinum,At Risk,237,3.0,508.42333333333335
C11809,492.84619666996434,999.3825654696496,Platinum,At Risk,212,4.0,463.30999999999995
C15059,487.2836498391559,988.1029566182884,Platinum,At Risk,364,3.0,472.46666666666664
C15087,487.0279446628365,987.584443344086,Platinum,Can't Lose Them,211,5.0,392.526
C15729,486.8901275660439,987.3049808978108,Platinum,At Risk,211,3.0,391.09
C14001,486.425729000004,986.363283805564,Platinum,Can't Lose Them,350,4.0,417.75000000000006
C16636,481.25846802205996,975.8852268225087,Platinum,Can't Lose Them,277,5.0,360.744
C10783,480.89696276115995,975.1521744879088,Platinum,At Risk,321,3.0,395.25
C17044,478.9549231638762,971.2141497489706,Platinum,At Risk,316,2.0,517.035
C14695,477.82568579724045,968.9243073110712,Platinum,At Risk,208,2.0,512.64
C17315,476.95170975696493,967.1520781182926,Platinum,At Risk,326,3.0,449.9433333333333
C16682,471.99516336004314,957.1013034800862,Platinum,At Risk,274,2.0,503.23
C17409,470.9866555575073,955.0562737693882,Platinum,At Risk,158,2.0,360.41999999999996
C17494,469.4160033897497,951.8713402069935,Platinum,Can't Lose Them,168,4.0,340.44
C11957,465.8851197478008,944.7114928219295,Platinum,At Risk,455,2.0,529.68
C14700,465.66789370384845,944.2710066772482,Platinum,At Risk,260,2.0,564.98
C10665,464.071799858984,941.034483047386,Platinum,At Risk,433,3.0,488.07
C14664,460.1556535308554,933.09340854868,Platinum,Can't Lose Them,413,5.0,358.186
C16634,460.1434625931589,933.068688036128,Platinum,At Risk,366,2.0,506.84000000000003
C10874,458.33782818846817,929.4072627155032,Platinum,At Risk,302,2.0,563.665
C17385,457.074129419496,926.8447624339759,Platinum,Can't Lose Them,177,8.0,271.43375000000003
C17461,455.0673794666985,922.7755194741409,Platinum,At Risk,191,3.0,425.4166666666667
C14710,454.04197000204334,920.6962169485885,Platinum,Can't Lose Them,295,4.0,417.6325
C14065,452.2398626198156,917.0419436457372,Platinum,At Risk,401,2.0,583.16
C16797,450.71046074228616,913.9406565051903,Platinum,At Risk,622,2.0,556.25
C17279,449.17275488716945,910.8225307434263,Platinum,Can't Lose Them,242,5.0,352.46799999999996
C11144,448.8185378584675,910.1042573241164,Platinum,At Risk,327,2.0,557.88
C16543,448.432359042527,909.3211725029018,Platinum,At Risk,213,3.0,394.89000000000004
C15966,448.0265777134834,908.4983381412281,Platinum,Can't Lose Them,313,4.0,379.2975
C12690,446.2880255713995,904.9729407420041,Platinum,At Risk,282,3.0,450.97
C13202,441.19914792912425,894.6538277451639,Platinum,Can't Lose Them,175,4.0,410.40749999999997
C12787,439.9169681440892,892.0538520699596,Platinum,Can't Lose Them,228,5.0,354.488
C12967,439.01036259032196,890.2154574748201,Platinum,At Risk,174,2.0,493.195
C12608,438.72214585358984,889.6310179808908,Platinum,At Risk,158,2.0,531.7
C11682,438.54456379433725,889.2709210274026,Platinum,Can't Lose Them,357,5.0,332.68
C15845,438.2560186199238,888.6858155348427,Platinum,Can't Lose Them,266,4.0,392.15500000000003
C17713,437.8734080840674,887.9099663926922,Platinum,At Risk,483,2.0,481.74
C12095,436.6952044311821,885.5208312076757,Platinum,At Risk,161,2.0,506.04499999999996
C14759,434.8095953409603,881.6972349969436,Platinum,Can't Lose Them,176,4.0,279.2575
C13305,434.2140390029961,880.4895790894069,Platinum,At Risk,322,3.0,429.81
C15507,432.9891756463945,878.0058283940779,Platinum,Can't Lose Them,260,6.0,307.4583333333333
C12014,429.28729069916716,870.4992283622008,Platinum,Can't Lose Them,166,4.0,395.15999999999997
C15952,428.25190106895457,868.3996882787133,Platinum,At Risk,177,2.0,491.01500000000004
C13927,427.73923457882097,867.3601145626094,Platinum,At Risk,268,3.0,459.76
C10459,427.6379880416477,867.1548090844518,Platinum,At Risk,190,2.0,462.395
C11692,427.3711440113717,866.6137086897262,Platinum,At Risk,168,2.0,532.5550000000001
C10901,426.6103614041202,865.0710106250201,Platinum,At Risk,296,3.0,443.3933333333334
C16316,426.3691553679985,864.5818983851045,Platinum,At Risk,215,3.0,406.48333333333335
C15161,424.47579791778105,860.7425902221671,Platinum,Can't Lose Them,182,8.0,233.14125
C16755,423.7033746393874,859.1762874631947,Platinum,Can't Lose Them,267,6.0,285.99333333333334
C11344,422.3409178341718,856.4135278304042,Platinum,At Risk,413,2.0,448.235
C16829,422.04061035245445,855.804570992475,Platinum,At Risk,254,3.0,389.7233333333333
C14268,421.9453633466902,855.6114312307932,Gold,Can't Lose Them,176,7.0,249.58571428571426
C16676,421.7629761765442,855.2415905802146,Gold,At Risk,175,2.0,384.16
C13875,420.5707393429622,852.823999223228,Gold,Can't Lose Them,421,6.0,287.29833333333335
C15442,418.46958841402255,848.5633320617676,Gold,Can't Lose Them,217,4.0,390.565
C12728,418.13534232453503,847.885555269196,Gold,Can't Lose Them,321,6.0,303.175
C14155,417.62992400028395,846.860679222796,Gold,At Risk,379,3.0,432.0833333333333
C17482,417.3114079338595,846.2147994214386,Gold,Can't Lose Them,169,4.0,363.3025
C11088,416.6073014395382,844.7870279190628,Gold,Can't Lose Them,193,7.0,230.93142857142857
C15205,415.7891652426387,843.1280295197947,Gold,Can't Lose Them,362,5.0,323.28999999999996
C11073,414.89099284603714,841.3067354933548,Gold,Can't Lose Them,213,5.0,334.574
C13630,413.3651153779833,838.212595072021,Gold,Can't Lose Them,302,4.0,386.7875
C14408,410.4714733592525,832.3449320895944,Gold,Can't Lose Them,159,4.0,374.5
C10643,407.3425881428983,826.0002481786546,Gold,At Risk,170,4.0,383.10499999999996
C12906,407.176387245467,825.6632296921973,Gold,Can't Lose Them,187,5.0,325.758
C14996,407.0272324307794,825.3607768735245,Gold,At Risk,207,3.0,443.52666666666664
C11119,406.33400885263376,823.9550735067286,Gold,At Risk,229,2.0,396.565
C13506,404.7643875099707,820.7722302285529,Gold,Can't Lose Them,179,6.0,297.01
C13911,404.04203118299654,819.3074521210741,Gold,At Risk,287,3.0,430.07
C13257,402.86730358378185,816.925365600448,Gold,At Risk,164,3.0,442.74666666666667
C15303,401.7047127302822,814.5678897030722,Gold,At Risk,172,3.0,368.26
C12911,400.5918212992823,812.311193190208,Gold,Can't Lose Them,213,5.0,319.63199999999995
C15113,400.20985041277225,811.5366411147887,Gold,Can't Lose Them,157,6.0,284.3883333333333
C13943,398.26439037763447,807.5916804879806,Gold,At Risk,215,2.0,464.44
C13999,394.73421355634986,800.4332663781524,Gold,At Risk,222,2.0,485.20000000000005
C11566,393.9183796218008,798.7789364553187,Gold,At Risk,454,2.0,460.65999999999997
C14909,391.5147528606192,793.9049155229217,Gold,Can't Lose Them,174,4.0,340.475
C12863,388.37017947771096,787.528419496468,Gold,Can't Lose Them,198,4.0,259.64500000000004
C13319,387.9964266383684,786.7705317944703,Gold,At Risk,213,2.0,418.08
C15944,387.73146063720185,786.2332396254363,Gold,Can't Lose Them,170,7.0,224.28285714285715
C15526,387.2038311929877,785.1633243635576,Gold,Can't Lose Them,218,5.0,317.928
C10192,387.1686144832605,785.091912702167,Gold,At Risk,311,3.0,407.3566666666666
C10497,385.6513685874514,782.0152751912194,Gold,Can't Lose Them,214,7.0,241.54428571428573
C12944,383.8241012346115,778.3099830590735,Gold,Can't Lose Them,166,5.0,251.602
C12670,383.7725305296355,778.2054091295378,Gold,Can't Lose Them,193,6.0,279.65333333333336
C14745,383.6063934732585,777.8685200985511,Gold,At Risk,330,2.0,374.28499999999997
C16549,383.0159326482302,776.6711967589113,Gold,At Risk,331,2.0,367.34999999999997
C14492,382.66521423197526,775.9600177481716,Gold,Can't Lose Them,260,7.0,251.3114285714286
C14534,380.09684936641725,770.7519445485684,Gold,At Risk,344,3.0,397.7633333333333
C10094,378.52255533193494,767.5596260897562,Gold,At Risk,270,3.0,338.45
C12284,376.7348960713641,763.9346503669326,Gold,At Risk,323,2.0,446.74
C16037,375.9476180453753,762.3382254808993,Gold,At Risk,342,2.0,433.325
C12395,375.8476612545521,762.1355353217306,Gold,Can't Lose Them,182,5.0,290.048
C16782,375.6721090939548,761.779554551624,Gold,Can't Lose Them,204,6.0,240.09666666666666
C17611,375.4769853581329,761.3838869762131,Gold,At Risk,196,2.0,334.745
C11320,374.949409794889,760.3140809729683,Gold,At Risk,320,2.0,408.525
C13891,374.5211471957693,759.4456595914206,Gold,At Risk,244,2.0,427.945
C11244,374.5038081400013,759.4104998394499,Gold,Can't Lose Them,168,7.0,237.50142857142856
C12512,373.4973353425707,757.3695966668793,Gold,At Risk,240,3.0,393.28
C14620,371.844735984591,754.0184924131933,Gold,Can't Lose Them,184,5.0,282.236
C10066,371.8025420883414,753.932932568028,Gold,Can't Lose Them,337,7.0,216.5142857142857
C16693,371.76329773176604,753.8533537338583,Gold,At Risk,186,3.0,304.24333333333334
C11664,370.97839084523366,752.261736991724,Gold,At Risk,209,3.0,320.24
C14833,370.76221940093785,751.8233893407905,Gold,Can't Lose Them,176,5.0,303.092
C10465,369.2286200502362,748.7135906574232,Gold,At Risk,180,3.0,388.4266666666667
C15592,368.9786044558549,748.206614591039,Gold,Can't Lose Them,159,5.0,275.896
C11756,368.92582994270896,748.0995996060483,Gold,At Risk,195,3.0,378.4533333333333
C17556,368.2519466535312,746.733114047437,Gold,Can't Lose Them,195,6.0,250.10166666666666
C12114,367.8551757839161,745.9285508951631,Gold,Can't Lose Them,189,5.0,300.71
C16834,367.73975259047717,745.6944983084677,Gold,Can't Lose Them,224,7.0,234.23857142857142
C16342,367.6382656958232,745.4887054387526,Gold,At Risk,166,3.0,242.79
C11447,365.8572157615616,741.8771319609439,Gold,Can't Lose Them,260,6.0,224.415
C12529,364.2286089993672,738.574679359828,Gold,Can't Lose Them,189,6.0,260.82
C13122,363.48735542499645,737.0715818340202,Gold,At Risk,161,3.0,276.04333333333335
C15462,362.5082461601248,735.0861658246923,Gold,Can't Lose Them,174,6.0,260.49333333333334
C10747,362.237348463862,734.5368454961641,Gold,At Risk,185,2.0,458.33500000000004
C11151,361.10293336658185,732.2365037711229,Gold,Can't Lose Them,207,6.0,252.245
C11266,360.5017659098581,731.0174697616566,Gold,At Risk,496,2.0,430.605
C13325,360.4271821808433,730.8662305333763,Gold,Can't Lose Them,177,4.0,295.3975
C15643,359.67064624624845,729.332143777115,Gold,Can't Lose Them,320,4.0,320.81
C13902,358.9667694085085,727.9048379672488,Gold,Can't Lose Them,156,5.0,288.622
C16644,357.3087207215711,724.5426836854061,Gold,At Risk,252,3.0,385.8666666666666
C11899,356.8803146750234,723.6739714243528,Gold,At Risk,447,2.0,453.11
C10516,354.9550327609012,719.769927542939,Gold,At Risk,175,4.0,234.65999999999997
C12873,354.8513744379059,719.5597314990858,Gold,Can't Lose Them,159,4.0,327.63
C12443,354.72912549919533,719.3118378178134,Gold,Can't Lose Them,199,4.0,320.95500000000004
C17186,354.1092762788919,718.0549213433025,Gold,Can't Lose Them,212,6.0,238.92166666666665
C16600,353.58792271912904,716.9977321804564,Gold,At Risk,154,3.0,382.1666666666667
C11878,352.9089999977037,715.621027773122,Gold,Can't Lose Them,246,4.0,302.5575
C15649,352.45274054867156,714.6958350014755,Gold,Can't Lose Them,162,6.0,216.83333333333334
C16213,351.3520023048872,712.4637824515768,Gold,At Risk,506,2.0,418.465
C10416,350.98981555188993,711.7293482024436,Gold,At Risk,227,2.0,420.75
C14747,349.6605947438694,709.0339837861793,Gold,Can't Lose Them,165,4.0,306.2325
C17715,348.7768480013416,707.2419417804972,Gold,Can't Lose Them,427,5.0,284.58599999999996
C16720,347.95210338353775,705.5695429721751,Gold,At Risk,172,3.0,351.99333333333334
C15969,347.7078902918048,705.0743330917153,Gold,Can't Lose Them,200,6.0,243.3016666666667
C16864,347.29713137128795,704.2414052806669,Gold,Can't Lose Them,182,4.0,299.6875
C12822,346.5686788317911,702.7642654089098,Gold,Can't Lose Them,185,4.0,312.715
C12209,345.833887939217,701.2742727656314,Gold,At Risk,156,3.0,301.68666666666667
C12742,345.26518171716725,700.1210629264777,Gold,At Risk,344,2.0,390.94000000000005
C14690,344.1960531471712,697.9531077706508,Gold,Can't Lose Them,253,4.0,296.45000000000005
C13760,344.17177693981364,697.9038810168449,Gold,Can't Lose Them,204,4.0,295.045
C17301,342.8882561529968,695.3011860880212,Gold,At Risk,519,2.0,438.69
C17389,342.7686289428746,695.058608689718,Gold,Can't Lose Them,162,4.0,301.5575
C15985,341.0496579418772,691.5729174932517,Gold,Can't Lose Them,169,5.0,280.668
C13969,339.9955838012832,689.4354893748241,Gold,Can't Lose Them,159,6.0,237.25333333333333
C15453,339.29879627750876,688.0225591182813,Gold,At Risk,244,3.0,365.4066666666667
C15065,339.02256121369913,687.4624157944413,Gold,Can't Lose Them,206,4.0,278.075
C14750,334.72644543574205,678.7508476891436,Gold,At Risk,373,3.0,352.3333333333333
C13165,334.3265129353659,677.9398734522686,Gold,At Risk,423,2.0,388.485
C12835,334.23033921517,677.744854519652,Gold,At Risk,210,3.0,327.1333333333333
C11722,333.80540899812695,676.8831904684254,Gold,At Risk,168,2.0,346.51500000000004
C11723,333.45325045663577,676.1690912037334,Gold,At Risk,212,3.0,298.94666666666666
C11148,330.58601023319653,670.3549651950921,Gold,At Risk,198,2.0,359.98
C10910,329.67148136038907,668.5005038696779,Gold,Can't Lose Them,271,5.0,233.888
C17701,328.69558781048863,666.5216086157146,Gold,Can't Lose Them,172,5.0,248.94
C11990,328.0421363488752,665.1965542629972,Gold,At Risk,237,3.0,282.4266666666667
C11994,326.9742535250586,663.0311252035896,Gold,At Risk,334,3.0,279.67
C10924,325.73957755240446,660.5274767034871,Gold,Can't Lose Them,222,6.0,236.45999999999995
C13215,325.71447567413446,660.4765756725492,Gold,At Risk,169,2.0,319.335
C16341,325.0767086811605,659.1833259367977,Gold,At Risk,239,2.0,360.42499999999995
C14786,324.7209686301389,658.4619641666706,Gold,At Risk,451,3.0,349.96
C16943,321.59131329185476,652.1157186195944,Gold,At Risk,172,2.0,382.87
C10341,321.2423669979184,651.408133079112,Gold,At Risk,278,4.0,291.865
C15380,321.22993561423687,651.3829249955356,Gold,Can't Lose Them,358,4.0,287.72
C15473,320.5258779145723,649.9552524378822,Gold,Can't Lose Them,152,6.0,214.80166666666665
C15335,320.09503692782835,649.0816026592072,Gold,Can't Lose Them,182,5.0,248.72200000000004
C15767,319.9896174589102,648.8678354027885,Gold,Can't Lose Them,379,5.0,258.108
C13620,319.20176522908656,647.2702461589809,Gold,At Risk,158,2.0,321.39
C12783,319.05981146772547,646.9823954762215,Gold,At Risk,284,2.0,414.435
C15827,318.18395381341344,645.2063507883068,Gold,Can't Lose Them,274,6.0,227.375
C16947,317.12315363921283,643.0552837684004,Gold,Can't Lose Them,223,4.0,294.7425
C12208,317.06163574839485,642.9305391564669,Gold,Can't Lose Them,411,4.0,275.56
C13795,316.79850490963776,642.396968288989,Gold,At Risk,176,3.0,265.89666666666665
C13218,315.889378602723,640.5534621666325,Gold,Can't Lose Them,424,6.0,217.8183333333333
C16589,315.446865294343,639.6561435135283,Gold,Can't Lose Them,180,6.0,218.10500000000002
C10822,315.2775272801653,639.3127636514461,Gold,At Risk,310,3.0,302.62333333333333
C16861,314.90467004027767,638.5566920261164,Gold,Can't Lose Them,199,4.0,290.395
