customer_id,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,RFM_Label,Segment,Cluster
C10156,28,3,64.64000000000001,5,1,1,7,5-1-1,Potential Loyalists,Occasional
C10157,85,2,16.990000000000002,3,1,1,5,3-1-1,Needs Attention,Occasional
C10158,170,4,834.43,2,2,4,8,2-2-4,At Risk,Core Regulars
C10159,7,4,622.61,5,2,3,10,5-2-3,Potential Loyalists,Core Regulars
C10160,161,5,4703.29,2,3,5,10,2-3-5,At Risk,Champions
C10161,115,8,1280.72,3,5,5,13,3-5-5,Loyal Customers,Champions
C10162,476,3,1165.23,1,1,5,7,1-1-5,Hibernating,Dormant
C10163,202,3,425.17,2,1,3,6,2-1-3,Hibernating,Core Regulars
C10164,95,4,373.48,3,2,3,8,3-2-3,Needs Attention,Core Regulars
C10165,298,4,656.23,1,2,4,7,1-2-4,At Risk,Core Regulars
C10166,332,3,371.06,1,1,3,5,1-1-3,Hibernating,Dormant
C10167,631,1,163.59,1,1,1,3,1-1-1,Hibernating,Dormant
C10168,525,2,619.41,1,1,3,5,1-1-3,Hibernating,Dormant
C10169,227,3,549.53,2,1,3,6,2-1-3,Hibernating,Core Regulars
C10170,91,4,388.29,3,2,3,8,3-2-3,Needs Attention,Core Regulars
C10171,365,6,699.62,1,4,4,9,1-4-4,Can't Lose Them,Core Regulars
C10172,594,2,85.03,1,1,1,3,1-1-1,Hibernating,Dormant
C10173,132,3,743.66,3,1,4,8,3-1-4,Needs Attention,Core Regulars
C10174,75,3,703.6600000000001,4,1,4,9,4-1-4,Potential Loyalists,Core Regulars
C10175,135,5,549.03,3,3,3,9,3-3-3,Loyal Customers,Core Regulars
C10176,81,5,791.52,4,3,4,11,4-3-4,Loyal Customers,Core Regulars
C10177,226,2,131.05,2,1,1,4,2-1-1,Hibernating,Occasional
C10178,109,6,812.02,3,4,4,11,3-4-4,Loyal Customers,Champions
C10179,160,3,1223.48,2,1,5,8,2-1-5,Hibernating,Core Regulars
C10180,50,2,24.06,4,1,1,6,4-1-1,Potential Loyalists,Occasional
C10181,111,2,368.72,3,1,3,7,3-1-3,Needs Attention,Core Regulars
C10182,148,3,448.73,3,1,3,7,3-1-3,Needs Attention,Core Regulars
C10183,12,2,34.68,5,1,1,7,5-1-1,Potential Loyalists,Occasional
C10184,19,9,1160.18,5,5,5,15,5-5-5,Champions,Champions
C10185,186,3,417.55,2,1,3,6,2-1-3,Hibernating,Core Regulars
C10186,104,8,599.12,3,5,3,11,3-5-3,Loyal Customers,Champions
C10187,15,5,486.25,5,3,3,11,5-3-3,Loyal Customers,Core Regulars
C10188,112,2,79.13,3,1,1,5,3-1-1,Needs Attention,Occasional
C10189,18,4,571.95,5,2,3,10,5-2-3,Potential Loyalists,Core Regulars
C10190,89,7,420.97,3,5,3,11,3-5-3,Loyal Customers,Champions
C10191,86,7,941.75,3,5,4,12,3-5-4,Loyal Customers,Champions
C10192,311,4,1342.49,1,2,5,8,1-2-5,At Risk,Core Regulars
C10193,60,5,963.7,4,3,4,11,4-3-4,Loyal Customers,Core Regulars
C10194,53,3,129.25,4,1,1,6,4-1-1,Potential Loyalists,Occasional
C10195,4,5,240.96,5,3,2,10,5-3-2,Loyal Customers,Core Regulars
C10196,675,2,326.37,1,1,2,4,1-1-2,Hibernating,Dormant
C10197,34,5,612.6099999999999,5,3,3,11,5-3-3,Loyal Customers,Core Regulars
C10198,455,2,102.59,1,1,1,3,1-1-1,Hibernating,Dormant
C10199,677,2,903.09,1,1,4,6,1-1-4,Hibernating,Dormant
C10200,196,4,540.35,2,2,3,7,2-2-3,At Risk,Core Regulars
C10201,115,7,412.41,3,5,3,11,3-5-3,Loyal Customers,Champions
C10202,60,2,128.57,4,1,1,6,4-1-1,Potential Loyalists,Occasional
C10203,41,3,655.51,4,1,4,9,4-1-4,Potential Loyalists,Core Regulars
C10204,318,5,299.51,1,3,2,6,1-3-2,At Risk,Core Regulars
C10205,8,3,298.72,5,1,2,8,5-1-2,Potential Loyalists,Core Regulars
C10206,507,3,182.04,1,1,2,4,1-1-2,Hibernating,Dormant
C10207,91,7,400.65,3,5,3,11,3-5-3,Loyal Customers,Champions
C10208,196,5,510.52,2,3,3,8,2-3-3,At Risk,Core Regulars
C10209,32,9,891.71,5,5,4,14,5-5-4,Champions,Champions
C10210,23,1,10.29,5,1,1,7,5-1-1,Potential Loyalists,Occasional
C10211,335,2,128.5,1,1,1,3,1-1-1,Hibernating,Dormant
C10212,276,2,34.27,1,1,1,3,1-1-1,Hibernating,Occasional
C10213,43,4,119.68,4,2,1,7,4-2-1,Potential Loyalists,Occasional
C10214,124,3,171.63,3,1,1,5,3-1-1,Needs Attention,Occasional
C10215,108,3,71.57,3,1,1,5,3-1-1,Needs Attention,Occasional
C10216,371,3,1073.6,1,1,4,6,1-1-4,Hibernating,Dormant
C10218,219,2,147.22,2,1,1,4,2-1-1,Hibernating,Occasional
C10219,2,8,721.87,5,5,4,14,5-5-4,Champions,Champions
C10220,117,5,319.35,3,3,2,8,3-3-2,Loyal Customers,Core Regulars
C10222,74,5,966.11,4,3,4,11,4-3-4,Loyal Customers,Core Regulars
C10223,31,4,974.44,5,2,4,11,5-2-4,Potential Loyalists,Core Regulars
C10224,213,5,210.71,2,3,2,7,2-3-2,At Risk,Core Regulars
C10225,225,7,727.53,2,5,4,11,2-5-4,Can't Lose Them,Champions
C10226,35,7,356.23,5,5,2,12,5-5-2,Champions,Champions
C10227,36,5,499.53,5,3,3,11,5-3-3,Loyal Customers,Core Regulars
C10228,167,4,66.94,2,2,1,5,2-2-1,At Risk,Occasional
C10229,90,3,219.15,3,1,2,6,3-1-2,Needs Attention,Occasional
C10230,188,1,4.75,2,1,1,4,2-1-1,Hibernating,Occasional
C10231,25,2,220.47,5,1,2,8,5-1-2,Potential Loyalists,Occasional
C10232,71,6,1192.1999999999998,4,4,5,13,4-4-5,Champions,Champions
C10233,58,5,548.91,4,3,3,10,4-3-3,Loyal Customers,Core Regulars
C10234,197,5,418.95,2,3,3,8,2-3-3,At Risk,Core Regulars
C10235,288,4,112.96,1,2,1,4,1-2-1,At Risk,Occasional
C10236,45,6,933.89,4,4,4,12,4-4-4,Champions,Champions
C10237,230,4,65.51,2,2,1,5,2-2-1,At Risk,Occasional
C10238,110,7,1725.1,3,5,5,13,3-5-5,Loyal Customers,Champions
C10239,33,6,694.9200000000001,5,4,4,13,5-4-4,Champions,Champions
C10240,195,6,645.24,2,4,3,9,2-4-3,Can't Lose Them,Core Regulars
C10241,23,7,279.23,5,5,2,12,5-5-2,Champions,Champions
C10242,343,5,920.49,1,3,4,8,1-3-4,At Risk,Core Regulars
C10243,109,3,260.7,3,1,2,6,3-1-2,Needs Attention,Occasional
C10244,5,9,1339.8200000000002,5,5,5,15,5-5-5,Champions,Champions
C10245,3,6,223.85,5,4,2,11,5-4-2,Champions,Core Regulars
C10246,20,5,78.91,5,3,1,9,5-3-1,Loyal Customers,Occasional
C10248,141,4,810.8299999999999,3,2,4,9,3-2-4,Needs Attention,Core Regulars
C10249,16,6,275.42,5,4,2,11,5-4-2,Champions,Core Regulars
C10250,129,4,200.06,3,2,2,7,3-2-2,Needs Attention,Occasional
C10251,33,2,737.45,5,1,4,10,5-1-4,Potential Loyalists,Core Regulars
C10252,101,6,294.93,3,4,2,9,3-4-2,Loyal Customers,Core Regulars
C10253,126,7,803.85,3,5,4,12,3-5-4,Loyal Customers,Champions
C10254,167,4,787.8399999999999,2,2,4,8,2-2-4,At Risk,Core Regulars
C10255,60,5,356.06,4,3,2,9,4-3-2,Loyal Customers,Core Regulars
C10256,28,11,1574.87,5,5,5,15,5-5-5,Champions,Champions
C10257,613,3,1135.95,1,1,5,7,1-1-5,Hibernating,Dormant
C10258,22,4,203.1,5,2,2,9,5-2-2,Potential Loyalists,Core Regulars
C10260,88,4,1476.8,3,2,5,10,3-2-5,Needs Attention,Core Regulars
C10261,221,3,601.64,2,1,3,6,2-1-3,Hibernating,Core Regulars
C10262,122,3,251.84000000000003,3,1,2,6,3-1-2,Needs Attention,Occasional
C10263,294,2,128.45,1,1,1,3,1-1-1,Hibernating,Dormant
C10264,49,8,1053.58,4,5,4,13,4-5-4,Champions,Champions
C10265,138,4,745.49,3,2,4,9,3-2-4,Needs Attention,Core Regulars
C10266,160,3,548.1999999999999,2,1,3,6,2-1-3,Hibernating,Core Regulars
C10267,158,3,332.03,2,1,2,5,2-1-2,Hibernating,Core Regulars
C10268,99,3,382.07,3,1,3,7,3-1-3,Needs Attention,Core Regulars
C10269,18,6,789.39,5,4,4,13,5-4-4,Champions,Champions
C10270,68,8,1965.14,4,5,5,14,4-5-5,Champions,Champions
C10271,33,7,646.9,5,5,4,14,5-5-4,Champions,Champions
C10272,57,7,1415.3,4,5,5,14,4-5-5,Champions,Champions
C10273,327,4,426.45,1,2,3,6,1-2-3,At Risk,Dormant
C10275,16,6,461.68,5,4,3,12,5-4-3,Champions,Champions
C10276,80,5,639.09,4,3,3,10,4-3-3,Loyal Customers,Core Regulars
C10277,47,11,1472.74,4,5,5,14,4-5-5,Champions,Champions
C10278,534,1,287.71,1,1,2,4,1-1-2,Hibernating,Dormant
C10279,194,4,707.1,2,2,4,8,2-2-4,At Risk,Core Regulars
C10280,9,3,94.21,5,1,1,7,5-1-1,Potential Loyalists,Occasional
C10281,162,3,105.5,2,1,1,4,2-1-1,Hibernating,Occasional
C10282,311,4,485.77,1,2,3,6,1-2-3,At Risk,Core Regulars
C10283,19,3,41.9,5,1,1,7,5-1-1,Potential Loyalists,Occasional
C10284,51,3,182.24,4,1,2,7,4-1-2,Potential Loyalists,Occasional
C10285,330,4,149.83,1,2,1,4,1-2-1,At Risk,Dormant
C10286,365,1,97.61,1,1,1,3,1-1-1,Hibernating,Dormant
C10287,54,4,1246.81,4,2,5,11,4-2-5,Potential Loyalists,Core Regulars
C10288,340,3,151.56,1,1,1,3,1-1-1,Hibernating,Dormant
C10289,38,5,1334.49,4,3,5,12,4-3-5,Loyal Customers,Core Regulars
C10290,337,1,187.41,1,1,2,4,1-1-2,Hibernating,Dormant
C10292,71,7,2399.7,4,5,5,14,4-5-5,Champions,Champions
C10293,64,2,36.32,4,1,1,6,4-1-1,Potential Loyalists,Occasional
C10294,27,7,796.82,5,5,4,14,5-5-4,Champions,Champions
C10295,4,3,669.5699999999999,5,1,4,10,5-1-4,Potential Loyalists,Core Regulars
C10296,155,4,118.9,2,2,1,5,2-2-1,At Risk,Occasional
C10297,113,2,153.94,3,1,1,5,3-1-1,Needs Attention,Occasional
C10298,116,6,167.92,3,4,1,8,3-4-1,Loyal Customers,Core Regulars
C10299,243,3,356.13,2,1,2,5,2-1-2,Hibernating,Core Regulars
C10300,294,2,509.51,1,1,3,5,1-1-3,Hibernating,Dormant
C10301,40,7,143.76999999999998,4,5,1,10,4-5-1,Champions,Champions
C10302,356,5,410.65,1,3,3,7,1-3-3,At Risk,Dormant
C10303,202,6,3126.59,2,4,5,11,2-4-5,Can't Lose Them,Champions
C10304,108,2,186.08,3,1,2,6,3-1-2,Needs Attention,Occasional
C10305,45,8,1276.86,4,5,5,14,4-5-5,Champions,Champions
C10306,163,7,640.59,2,5,3,10,2-5-3,Can't Lose Them,Champions
C10307,112,6,251.93,3,4,2,9,3-4-2,Loyal Customers,Core Regulars
C10308,402,3,250.63,1,1,2,4,1-1-2,Hibernating,Dormant
C10309,36,5,198.35,5,3,2,10,5-3-2,Loyal Customers,Core Regulars
C10310,94,4,406.37,3,2,3,8,3-2-3,Needs Attention,Core Regulars
C10311,81,5,585.76,4,3,3,10,4-3-3,Loyal Customers,Core Regulars
C10312,80,2,92.27,4,1,1,6,4-1-1,Potential Loyalists,Occasional
C10313,308,3,374.35,1,1,3,5,1-1-3,Hibernating,Dormant
C10314,17,4,1042.24,5,2,4,11,5-2-4,Potential Loyalists,Core Regulars
C10315,267,1,34.93,1,1,1,3,1-1-1,Hibernating,Occasional
C10316,53,4,721.0,4,2,4,10,4-2-4,Potential Loyalists,Core Regulars
C10317,264,4,489.02,2,2,3,7,2-2-3,At Risk,Core Regulars
C10318,34,3,1308.44,5,1,5,11,5-1-5,Potential Loyalists,Core Regulars
C10319,58,4,324.13,4,2,2,8,4-2-2,Potential Loyalists,Core Regulars
C10320,15,4,151.81,5,2,1,8,5-2-1,Potential Loyalists,Occasional
C10321,668,1,21.84,1,1,1,3,1-1-1,Hibernating,Dormant
C10322,343,2,798.7,1,1,4,6,1-1-4,Hibernating,Dormant
C10323,420,1,33.78,1,1,1,3,1-1-1,Hibernating,Dormant
C10324,49,5,858.48,4,3,4,11,4-3-4,Loyal Customers,Core Regulars
C10325,266,6,2064.77,1,4,5,10,1-4-5,Can't Lose Them,Champions
C10326,28,2,388.38,5,1,3,9,5-1-3,Potential Loyalists,Core Regulars
C10327,310,4,421.56,1,2,3,6,1-2-3,At Risk,Core Regulars
C10328,16,6,1104.63,5,4,4,13,5-4-4,Champions,Champions
C10329,3,8,1312.14,5,5,5,15,5-5-5,Champions,Champions
C10330,126,2,2522.1,3,1,5,9,3-1-5,Needs Attention,Core Regulars
C10331,229,6,1007.23,2,4,4,10,2-4-4,Can't Lose Them,Champions
C10332,18,6,2755.63,5,4,5,14,5-4-5,Champions,Champions
C10333,92,3,118.39,3,1,1,5,3-1-1,Needs Attention,Occasional
C10334,116,3,567.0699999999999,3,1,3,7,3-1-3,Needs Attention,Core Regulars
C10335,63,5,1398.07,4,3,5,12,4-3-5,Loyal Customers,Core Regulars
C10336,514,2,78.99000000000001,1,1,1,3,1-1-1,Hibernating,Dormant
C10337,8,4,295.64,5,2,2,9,5-2-2,Potential Loyalists,Core Regulars
C10338,126,8,1379.92,3,5,5,13,3-5-5,Loyal Customers,Champions
C10339,217,3,196.55,2,1,2,5,2-1-2,Hibernating,Occasional
C10340,38,8,2040.14,4,5,5,14,4-5-5,Champions,Champions
C10341,278,5,1396.62,1,3,5,9,1-3-5,At Risk,Core Regulars
C10342,83,5,117.69,4,3,1,8,4-3-1,Loyal Customers,Occasional
C10343,26,6,664.17,5,4,4,13,5-4-4,Champions,Champions
C10344,18,3,639.7200000000001,5,1,3,9,5-1-3,Potential Loyalists,Core Regulars
C10345,287,2,355.54,1,1,2,4,1-1-2,Hibernating,Dormant
C10347,145,5,528.96,3,3,3,9,3-3-3,Loyal Customers,Core Regulars
C10348,316,4,468.74,1,2,3,6,1-2-3,At Risk,Core Regulars
C10349,232,3,445.45,2,1,3,6,2-1-3,Hibernating,Core Regulars
C10350,137,2,38.650000000000006,3,1,1,5,3-1-1,Needs Attention,Occasional
C10351,401,1,24.4,1,1,1,3,1-1-1,Hibernating,Dormant
C10352,22,3,443.15,5,1,3,9,5-1-3,Potential Loyalists,Core Regulars
C10353,228,3,202.75,2,1,2,5,2-1-2,Hibernating,Occasional
C10354,90,6,3088.99,3,4,5,12,3-4-5,Loyal Customers,Champions
C10355,2,4,318.33,5,2,2,9,5-2-2,Potential Loyalists,Core Regulars
C10356,156,5,624.82,2,3,3,8,2-3-3,At Risk,Core Regulars
C10357,251,5,250.74,2,3,2,7,2-3-2,At Risk,Core Regulars
C10358,157,5,498.23,2,3,3,8,2-3-3,At Risk,Core Regulars
C10359,40,7,249.17,4,5,2,11,4-5-2,Champions,Champions
C10360,178,4,793.3100000000001,2,2,4,8,2-2-4,At Risk,Core Regulars
C10361,199,4,224.22000000000003,2,2,2,6,2-2-2,At Risk,Core Regulars
C10362,47,5,703.36,4,3,4,11,4-3-4,Loyal Customers,Core Regulars
C10363,501,4,130.21,1,2,1,4,1-2-1,At Risk,Dormant
C10364,60,10,2209.7,4,5,5,14,4-5-5,Champions,Champions
