customer_id,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,RFM_Label,Segment
C10092,422,4,776.72,1,2,4,7,1-2-4,At Risk
C10093,537,2,37.33,1,1,1,3,1-1-1,Hibernating
C10094,270,4,1045.52,1,2,4,7,1-2-4,At Risk
C10095,107,5,106.61,3,3,1,7,3-3-1,Loyal Customers
C10096,132,1,3.11,3,1,1,5,3-1-1,Needs Attention
C10097,49,5,174.4,4,3,2,9,4-3-2,Loyal Customers
C10098,142,7,1435.16,3,5,5,13,3-5-5,Loyal Customers
C10099,614,2,63.16,1,1,1,3,1-1-1,Hibernating
C10100,433,3,228.57,1,1,2,4,1-1-2,Hibernating
C10101,174,1,2.5,2,1,1,4,2-1-1,Hibernating
C10102,111,7,655.6800000000001,3,5,4,12,3-5-4,Loyal Customers
C10103,224,1,17.12,2,1,1,4,2-1-1,Hibernating
C10104,168,6,374.37,2,4,3,9,2-4-3,Can't Lose Them
C10105,115,8,486.63,3,5,3,11,3-5-3,Loyal Customers
C10106,37,10,2057.5699999999997,4,5,5,14,4-5-5,Champions
C10107,242,4,323.6,2,2,2,6,2-2-2,At Risk
C10108,231,1,46.71,2,1,1,4,2-1-1,Hibernating
C10109,54,8,523.49,4,5,3,12,4-5-3,Champions
C10110,12,9,401.56,5,5,3,13,5-5-3,Champions
C10111,197,6,1099.55,2,4,4,10,2-4-4,Can't Lose Them
C10112,68,3,27.43,4,1,1,6,4-1-1,Potential Loyalists
C10113,88,3,65.08,3,1,1,5,3-1-1,Needs Attention
C10114,124,6,230.03,3,4,2,9,3-4-2,Loyal Customers
C10115,226,6,203.24,2,4,2,8,2-4-2,Can't Lose Them
C10116,9,7,817.54,5,5,4,14,5-5-4,Champions
C10117,263,3,94.7,2,1,1,4,2-1-1,Hibernating
C10118,187,2,288.45000000000005,2,1,2,5,2-1-2,Hibernating
C10119,108,2,79.71000000000001,3,1,1,5,3-1-1,Needs Attention
C10120,269,3,119.77,1,1,1,3,1-1-1,Hibernating
C10121,30,2,244.29000000000002,5,1,2,8,5-1-2,Potential Loyalists
C10122,120,4,493.63,3,2,3,8,3-2-3,Needs Attention
C10123,169,4,278.65,2,2,2,6,2-2-2,At Risk
C10124,162,4,1567.6599999999999,2,2,5,9,2-2-5,At Risk
C10125,26,6,2549.82,5,4,5,14,5-4-5,Champions
C10126,123,2,116.9,3,1,1,5,3-1-1,Needs Attention
C10127,524,2,202.10999999999999,1,1,2,4,1-1-2,Hibernating
C10128,186,5,568.1899999999999,2,3,3,8,2-3-3,At Risk
C10129,366,5,436.82,1,3,3,7,1-3-3,At Risk
C10130,337,4,164.99,1,2,1,4,1-2-1,At Risk
C10131,272,5,181.97,1,3,2,6,1-3-2,At Risk
C10132,590,3,741.55,1,1,4,6,1-1-4,Hibernating
C10133,19,7,2256.3900000000003,5,5,5,15,5-5-5,Champions
C10134,234,3,774.12,2,1,4,7,2-1-4,Hibernating
C10135,5,4,238.95000000000002,5,2,2,9,5-2-2,Potential Loyalists
C10136,47,5,423.66,4,3,3,10,4-3-3,Loyal Customers
C10137,28,4,187.68,5,2,2,9,5-2-2,Potential Loyalists
C10138,70,7,331.26,4,5,2,11,4-5-2,Champions
C10139,5,3,148.34,5,1,1,7,5-1-1,Potential Loyalists
C10140,3,5,1308.65,5,3,5,13,5-3-5,Loyal Customers
C10141,121,5,409.84,3,3,3,9,3-3-3,Loyal Customers
C10142,1,7,379.74,5,5,3,13,5-5-3,Champions
C10143,41,6,2263.23,4,4,5,13,4-4-5,Champions
C10144,598,1,64.7,1,1,1,3,1-1-1,Hibernating
C10145,41,4,721.9699999999999,4,2,4,10,4-2-4,Potential Loyalists
C10146,33,5,912.17,5,3,4,12,5-3-4,Loyal Customers
C10147,67,4,606.77,4,2,3,9,4-2-3,Potential Loyalists
C10148,232,8,847.47,2,5,4,11,2-5-4,Can't Lose Them
C10149,179,4,1560.38,2,2,5,9,2-2-5,At Risk
C10150,230,2,612.3399999999999,2,1,3,6,2-1-3,Hibernating
C10151,90,6,3336.5299999999997,3,4,5,12,3-4-5,Loyal Customers
C10152,295,2,119.0,1,1,1,3,1-1-1,Hibernating
C10153,22,7,843.53,5,5,4,14,5-5-4,Champions
C10154,99,7,827.0,3,5,4,12,3-5-4,Loyal Customers
C10155,349,4,930.01,1,2,4,7,1-2-4,At Risk
C10156,28,3,64.64000000000001,5,1,1,7,5-1-1,Potential Loyalists
C10157,85,2,16.990000000000002,3,1,1,5,3-1-1,Needs Attention
C10158,170,4,834.43,2,2,4,8,2-2-4,At Risk
C10159,7,4,622.61,5,2,3,10,5-2-3,Potential Loyalists
C10160,161,5,4703.29,2,3,5,10,2-3-5,At Risk
C10161,115,8,1280.72,3,5,5,13,3-5-5,Loyal Customers
C10162,476,3,1165.23,1,1,5,7,1-1-5,Hibernating
C10163,202,3,425.17,2,1,3,6,2-1-3,Hibernating
C10164,95,4,373.48,3,2,3,8,3-2-3,Needs Attention
C10165,298,4,656.23,1,2,4,7,1-2-4,At Risk
C10166,332,3,371.06,1,1,3,5,1-1-3,Hibernating
C10167,631,1,163.59,1,1,1,3,1-1-1,Hibernating
C10168,525,2,619.41,1,1,3,5,1-1-3,Hibernating
C10169,227,3,549.53,2,1,3,6,2-1-3,Hibernating
C10170,91,4,388.28999999999996,3,2,3,8,3-2-3,Needs Attention
C10171,365,6,699.62,1,4,4,9,1-4-4,Can't Lose Them
C10172,594,2,85.03,1,1,1,3,1-1-1,Hibernating
C10173,132,3,743.66,3,1,4,8,3-1-4,Needs Attention
C10174,75,3,703.6600000000001,4,1,4,9,4-1-4,Potential Loyalists
C10175,135,5,549.03,3,3,3,9,3-3-3,Loyal Customers
C10176,81,5,791.52,4,3,4,11,4-3-4,Loyal Customers
C10177,226,2,131.05,2,1,1,4,2-1-1,Hibernating
C10178,109,6,812.02,3,4,4,11,3-4-4,Loyal Customers
C10179,160,3,1223.48,2,1,5,8,2-1-5,Hibernating
C10180,50,2,24.060000000000002,4,1,1,6,4-1-1,Potential Loyalists
C10181,111,2,368.71999999999997,3,1,3,7,3-1-3,Needs Attention
C10182,148,3,448.73,3,1,3,7,3-1-3,Needs Attention
C10183,12,2,34.68,5,1,1,7,5-1-1,Potential Loyalists
C10184,19,9,1160.18,5,5,5,15,5-5-5,Champions
C10185,186,3,417.55,2,1,3,6,2-1-3,Hibernating
C10186,104,8,599.12,3,5,3,11,3-5-3,Loyal Customers
C10187,15,5,486.25,5,3,3,11,5-3-3,Loyal Customers
C10188,112,2,79.13,3,1,1,5,3-1-1,Needs Attention
C10189,18,4,571.95,5,2,3,10,5-2-3,Potential Loyalists
C10190,89,7,420.96999999999997,3,5,3,11,3-5-3,Loyal Customers
C10191,86,7,941.75,3,5,4,12,3-5-4,Loyal Customers
C10192,311,4,1342.49,1,2,5,8,1-2-5,At Risk
C10193,60,5,963.7,4,3,4,11,4-3-4,Loyal Customers
C10194,53,3,129.25,4,1,1,6,4-1-1,Potential Loyalists
C10195,4,5,240.95999999999998,5,3,2,10,5-3-2,Loyal Customers
C10196,675,2,326.37,1,1,2,4,1-1-2,Hibernating
C10197,34,5,612.6099999999999,5,3,3,11,5-3-3,Loyal Customers
C10198,455,2,102.59,1,1,1,3,1-1-1,Hibernating
C10199,677,2,903.09,1,1,4,6,1-1-4,Hibernating
C10200,196,4,540.35,2,2,3,7,2-2-3,At Risk
C10201,115,7,412.40999999999997,3,5,3,11,3-5-3,Loyal Customers
C10202,60,2,128.57,4,1,1,6,4-1-1,Potential Loyalists
C10203,41,3,655.51,4,1,4,9,4-1-4,Potential Loyalists
C10204,318,5,299.51,1,3,2,6,1-3-2,At Risk
C10205,8,3,298.72,5,1,2,8,5-1-2,Potential Loyalists
C10206,507,3,182.04,1,1,2,4,1-1-2,Hibernating
C10207,91,7,400.65,3,5,3,11,3-5-3,Loyal Customers
C10208,196,5,510.52,2,3,3,8,2-3-3,At Risk
C10209,32,9,891.71,5,5,4,14,5-5-4,Champions
C10210,23,1,10.29,5,1,1,7,5-1-1,Potential Loyalists
C10211,335,2,128.5,1,1,1,3,1-1-1,Hibernating
C10212,276,2,34.269999999999996,1,1,1,3,1-1-1,Hibernating
C10213,43,4,119.67999999999999,4,2,1,7,4-2-1,Potential Loyalists
C10214,124,3,171.63,3,1,1,5,3-1-1,Needs Attention
C10215,108,3,71.57,3,1,1,5,3-1-1,Needs Attention
C10216,371,3,1073.6000000000001,1,1,4,6,1-1-4,Hibernating
C10218,219,2,147.22,2,1,1,4,2-1-1,Hibernating
C10219,2,8,721.87,5,5,4,14,5-5-4,Champions
C10220,117,5,319.35,3,3,2,8,3-3-2,Loyal Customers
C10222,74,5,966.11,4,3,4,11,4-3-4,Loyal Customers
C10223,31,4,974.44,5,2,4,11,5-2-4,Potential Loyalists
C10224,213,5,210.71,2,3,2,7,2-3-2,At Risk
C10225,225,7,727.53,2,5,4,11,2-5-4,Can't Lose Them
C10226,35,7,356.23,5,5,2,12,5-5-2,Champions
C10227,36,5,499.53,5,3,3,11,5-3-3,Loyal Customers
C10228,167,4,66.94,2,2,1,5,2-2-1,At Risk
C10229,90,3,219.15,3,1,2,6,3-1-2,Needs Attention
C10230,188,1,4.75,2,1,1,4,2-1-1,Hibernating
C10231,25,2,220.47,5,1,2,8,5-1-2,Potential Loyalists
C10232,71,6,1192.1999999999998,4,4,5,13,4-4-5,Champions
C10233,58,5,548.91,4,3,3,10,4-3-3,Loyal Customers
C10234,197,5,418.95,2,3,3,8,2-3-3,At Risk
C10235,288,4,112.96000000000001,1,2,1,4,1-2-1,At Risk
C10236,45,6,933.8900000000001,4,4,4,12,4-4-4,Champions
C10237,230,4,65.51,2,2,1,5,2-2-1,At Risk
C10238,110,7,1725.1000000000001,3,5,5,13,3-5-5,Loyal Customers
C10239,33,6,694.9200000000001,5,4,4,13,5-4-4,Champions
C10240,195,6,645.24,2,4,3,9,2-4-3,Can't Lose Them
C10241,23,7,279.23,5,5,2,12,5-5-2,Champions
C10242,343,5,920.49,1,3,4,8,1-3-4,At Risk
C10243,109,3,260.7,3,1,2,6,3-1-2,Needs Attention
C10244,5,9,1339.8200000000002,5,5,5,15,5-5-5,Champions
C10245,3,6,223.85,5,4,2,11,5-4-2,Champions
C10246,20,5,78.91,5,3,1,9,5-3-1,Loyal Customers
C10248,141,4,810.8299999999999,3,2,4,9,3-2-4,Needs Attention
C10249,16,6,275.42,5,4,2,11,5-4-2,Champions
C10250,129,4,200.06,3,2,2,7,3-2-2,Needs Attention
C10251,33,2,737.45,5,1,4,10,5-1-4,Potential Loyalists
C10252,101,6,294.93,3,4,2,9,3-4-2,Loyal Customers
C10253,126,7,803.85,3,5,4,12,3-5-4,Loyal Customers
C10254,167,4,787.8399999999999,2,2,4,8,2-2-4,At Risk
C10255,60,5,356.06,4,3,2,9,4-3-2,Loyal Customers
C10256,28,11,1574.87,5,5,5,15,5-5-5,Champions
C10257,613,3,1135.95,1,1,5,7,1-1-5,Hibernating
C10258,22,4,203.1,5,2,2,9,5-2-2,Potential Loyalists
C10260,88,4,1476.8,3,2,5,10,3-2-5,Needs Attention
C10261,221,3,601.64,2,1,3,6,2-1-3,Hibernating
C10262,122,3,251.84000000000003,3,1,2,6,3-1-2,Needs Attention
C10263,294,2,128.45,1,1,1,3,1-1-1,Hibernating
C10264,49,8,1053.58,4,5,4,13,4-5-4,Champions
C10265,138,4,745.49,3,2,4,9,3-2-4,Needs Attention
C10266,160,3,548.1999999999999,2,1,3,6,2-1-3,Hibernating
C10267,158,3,332.03,2,1,2,5,2-1-2,Hibernating
C10268,99,3,382.07,3,1,3,7,3-1-3,Needs Attention
C10269,18,6,789.39,5,4,4,13,5-4-4,Champions
C10270,68,8,1965.14,4,5,5,14,4-5-5,Champions
C10271,33,7,646.9,5,5,4,14,5-5-4,Champions
C10272,57,7,1415.3,4,5,5,14,4-5-5,Champions
C10273,327,4,426.45,1,2,3,6,1-2-3,At Risk
C10275,16,6,461.67999999999995,5,4,3,12,5-4-3,Champions
C10276,80,5,639.09,4,3,3,10,4-3-3,Loyal Customers
C10277,47,11,1472.74,4,5,5,14,4-5-5,Champions
C10278,534,1,287.71,1,1,2,4,1-1-2,Hibernating
C10279,194,4,707.1,2,2,4,8,2-2-4,At Risk
C10280,9,3,94.21000000000001,5,1,1,7,5-1-1,Potential Loyalists
C10281,162,3,105.5,2,1,1,4,2-1-1,Hibernating
C10282,311,4,485.77,1,2,3,6,1-2-3,At Risk
C10283,19,3,41.9,5,1,1,7,5-1-1,Potential Loyalists
C10284,51,3,182.24,4,1,2,7,4-1-2,Potential Loyalists
C10285,330,4,149.83,1,2,1,4,1-2-1,At Risk
C10286,365,1,97.61,1,1,1,3,1-1-1,Hibernating
C10287,54,4,1246.81,4,2,5,11,4-2-5,Potential Loyalists
C10288,340,3,151.56,1,1,1,3,1-1-1,Hibernating
C10289,38,5,1334.49,4,3,5,12,4-3-5,Loyal Customers
C10290,337,1,187.41,1,1,2,4,1-1-2,Hibernating
C10292,71,7,2399.7,4,5,5,14,4-5-5,Champions
C10293,64,2,36.32,4,1,1,6,4-1-1,Potential Loyalists
C10294,27,7,796.82,5,5,4,14,5-5-4,Champions
C10295,4,3,669.5699999999999,5,1,4,10,5-1-4,Potential Loyalists
C10296,155,4,118.89999999999999,2,2,1,5,2-2-1,At Risk
C10297,113,2,153.94,3,1,1,5,3-1-1,Needs Attention
C10298,116,6,167.92,3,4,1,8,3-4-1,Loyal Customers
C10299,243,3,356.13,2,1,2,5,2-1-2,Hibernating
C10300,294,2,509.51,1,1,3,5,1-1-3,Hibernating
C10301,40,7,143.76999999999998,4,5,1,10,4-5-1,Champions
C10302,356,5,410.65,1,3,3,7,1-3-3,At Risk
C10303,202,6,3126.59,2,4,5,11,2-4-5,Can't Lose Them
C10304,108,2,186.08,3,1,2,6,3-1-2,Needs Attention
C10305,45,8,1276.8600000000001,4,5,5,14,4-5-5,Champions
C10306,163,7,640.59,2,5,3,10,2-5-3,Can't Lose Them
C10307,112,6,251.93,3,4,2,9,3-4-2,Loyal Customers
C10308,402,3,250.63,1,1,2,4,1-1-2,Hibernating
C10309,36,5,198.35,5,3,2,10,5-3-2,Loyal Customers
C10310,94,4,406.37,3,2,3,8,3-2-3,Needs Attention
C10311,81,5,585.76,4,3,3,10,4-3-3,Loyal Customers
C10312,80,2,92.27000000000001,4,1,1,6,4-1-1,Potential Loyalists
C10313,308,3,374.35,1,1,3,5,1-1-3,Hibernating
C10314,17,4,1042.24,5,2,4,11,5-2-4,Potential Loyalists
C10315,267,1,34.93,1,1,1,3,1-1-1,Hibernating
C10316,53,4,721.0,4,2,4,10,4-2-4,Potential Loyalists
C10317,264,4,489.02,2,2,3,7,2-2-3,At Risk
C10318,34,3,1308.44,5,1,5,11,5-1-5,Potential Loyalists
C10319,58,4,324.13,4,2,2,8,4-2-2,Potential Loyalists
C10320,15,4,151.81,5,2,1,8,5-2-1,Potential Loyalists
C10321,668,1,21.84,1,1,1,3,1-1-1,Hibernating
C10322,343,2,798.7,1,1,4,6,1-1-4,Hibernating
C10323,420,1,33.78,1,1,1,3,1-1-1,Hibernating
C10324,49,5,858.48,4,3,4,11,4-3-4,Loyal Customers
C10325,266,6,2064.77,1,4,5,10,1-4-5,Can't Lose Them
C10326,28,2,388.38,5,1,3,9,5-1-3,Potential Loyalists
C10327,310,4,421.56,1,2,3,6,1-2-3,At Risk
C10328,16,6,1104.63,5,4,4,13,5-4-4,Champions
C10329,3,8,1312.14,5,5,5,15,5-5-5,Champions
C10330,126,2,2522.1,3,1,5,9,3-1-5,Needs Attention
C10331,229,6,1007.23,2,4,4,10,2-4-4,Can't Lose Them
C10332,18,6,2755.63,5,4,5,14,5-4-5,Champions
C10333,92,3,118.39,3,1,1,5,3-1-1,Needs Attention
C10334,116,3,567.0699999999999,3,1,3,7,3-1-3,Needs Attention
C10335,63,5,1398.07,4,3,5,12,4-3-5,Loyal Customers
C10336,514,2,78.99000000000001,1,1,1,3,1-1-1,Hibernating
C10337,8,4,295.64,5,2,2,9,5-2-2,Potential Loyalists
C10338,126,8,1379.92,3,5,5,13,3-5-5,Loyal Customers
C10339,217,3,196.55,2,1,2,5,2-1-2,Hibernating
C10340,38,8,2040.14,4,5,5,14,4-5-5,Champions
C10341,278,5,1396.6200000000001,1,3,5,9,1-3-5,At Risk
C10342,83,5,117.69,4,3,1,8,4-3-1,Loyal Customers
C10343,26,6,664.17,5,4,4,13,5-4-4,Champions
C10344,18,3,639.7200000000001,5,1,3,9,5-1-3,Potential Loyalists
C10345,287,2,355.54,1,1,2,4,1-1-2,Hibernating
C10347,145,5,528.96,3,3,3,9,3-3-3,Loyal Customers
C10348,316,4,468.74,1,2,3,6,1-2-3,At Risk
C10349,232,3,445.45,2,1,3,6,2-1-3,Hibernating
C10350,137,2,38.650000000000006,3,1,1,5,3-1-1,Needs Attention
C10351,401,1,24.4,1,1,1,3,1-1-1,Hibernating
C10352,22,3,443.15,5,1,3,9,5-1-3,Potential Loyalists
C10353,228,3,202.75,2,1,2,5,2-1-2,Hibernating
C10354,90,6,3088.99,3,4,5,12,3-4-5,Loyal Customers
C10355,2,4,318.33,5,2,2,9,5-2-2,Potential Loyalists
C10356,156,5,624.82,2,3,3,8,2-3-3,At Risk
C10357,251,5,250.73999999999998,2,3,2,7,2-3-2,At Risk
C10358,157,5,498.22999999999996,2,3,3,8,2-3-3,At Risk
C10359,40,7,249.17000000000002,4,5,2,11,4-5-2,Champions
C10360,178,4,793.3100000000001,2,2,4,8,2-2-4,At Risk
C10361,199,4,224.22000000000003,2,2,2,6,2-2-2,At Risk
C10362,47,5,703.36,4,3,4,11,4-3-4,Loyal Customers
C10363,501,4,130.21,1,2,1,4,1-2-1,At Risk
C10364,60,10,2209.7,4,5,5,14,4-5-5,Champions
C10365,287,3,470.39,1,1,3,5,1-1-3,Hibernating
C10366,6,5,167.67000000000002,5,3,1,9,5-3-1,Loyal Customers
C10367,285,2,182.88,1,1,2,4,1-1-2,Hibernating
C10368,7,4,256.63,5,2,2,9,5-2-2,Potential Loyalists
C10369,188,5,190.79,2,3,2,7,2-3-2,At Risk
C10370,75,7,882.48,4,5,4,13,4-5-4,Champions
C10371,73,5,727.83,4,3,4,11,4-3-4,Loyal Customers
C10372,29,6,626.67,5,4,3,12,5-4-3,Champions
C10373,50,2,176.26,4,1,2,7,4-1-2,Potential Loyalists
C10374,99,7,3286.12,3,5,5,13,3-5-5,Loyal Customers
C10375,40,10,1481.6,4,5,5,14,4-5-5,Champions
C10376,41,3,199.21,4,1,2,7,4-1-2,Potential Loyalists
C10377,174,3,116.60000000000001,2,1,1,4,2-1-1,Hibernating
C10378,330,3,407.68,1,1,3,5,1-1-3,Hibernating
C10379,95,2,12.950000000000001,3,1,1,5,3-1-1,Needs Attention
C10380,122,4,439.85,3,2,3,8,3-2-3,Needs Attention
C10381,24,4,694.0999999999999,5,2,4,11,5-2-4,Potential Loyalists
C10382,462,3,826.2399999999999,1,1,4,6,1-1-4,Hibernating
C10383,41,4,120.60999999999999,4,2,1,7,4-2-1,Potential Loyalists
C10384,338,3,1280.35,1,2,5,8,1-2-5,At Risk
C10385,241,2,99.73,2,1,1,4,2-1-1,Hibernating
C10386,41,9,2511.52,4,5,5,14,4-5-5,Champions
C10387,131,2,733.46,3,1,4,8,3-1-4,Needs Attention
C10388,53,5,785.6300000000001,4,3,4,11,4-3-4,Loyal Customers
C10389,129,4,233.25,3,2,2,7,3-2-2,Needs Attention
C10390,35,6,315.42,5,4,2,11,5-4-2,Champions
C10391,71,8,497.76,4,5,3,12,4-5-3,Champions
C10392,165,9,743.29,2,5,4,11,2-5-4,Can't Lose Them
C10393,20,8,1016.69,5,5,4,14,5-5-4,Champions
C10394,468,4,65.39,1,2,1,4,1-2-1,At Risk
C10395,49,5,463.5,4,3,3,10,4-3-3,Loyal Customers
C10396,184,3,208.56,2,2,2,6,2-2-2,At Risk
C10397,129,1,182.05,3,1,2,6,3-1-2,Needs Attention
C10398,50,5,498.98999999999995,4,3,3,10,4-3-3,Loyal Customers
C10399,151,4,325.65999999999997,3,2,2,7,3-2-2,Needs Attention
C10400,43,6,1429.23,4,4,5,13,4-4-5,Champions
C10401,225,3,81.41,2,2,1,5,2-2-1,At Risk
C10402,65,6,245.75,4,4,2,10,4-4-2,Champions
C10403,233,2,216.82,2,1,2,5,2-1-2,Hibernating
C10404,109,5,400.04,3,3,3,9,3-3-3,Loyal Customers
C10405,369,4,197.94,1,2,2,5,1-2-2,At Risk
C10406,3,6,848.31,5,4,4,13,5-4-4,Champions
C10407,305,4,62.34,1,2,1,4,1-2-1,At Risk
C10408,314,2,215.0,1,1,2,4,1-1-2,Hibernating
C10409,428,1,60.48,1,1,1,3,1-1-1,Hibernating
C10410,482,1,7.34,1,1,1,3,1-1-1,Hibernating
C10411,419,2,1172.96,1,1,5,7,1-1-5,Hibernating
C10412,704,1,58.04,1,1,1,3,1-1-1,Hibernating
C10413,81,5,388.94,4,3,3,10,4-3-3,Loyal Customers
C10414,408,3,510.0,1,2,3,6,1-2-3,At Risk
C10415,215,4,3874.9199999999996,2,2,5,9,2-2-5,At Risk
C10416,227,3,986.1800000000001,2,2,4,8,2-2-4,At Risk
C10417,252,4,2719.5,2,2,5,9,2-2-5,At Risk
C10418,237,3,217.01,2,2,2,6,2-2-2,At Risk
C10419,34,9,2880.62,5,5,5,15,5-5-5,Champions
C10420,1,3,474.69,5,2,3,10,5-2-3,Potential Loyalists
